Department,Colour,Population,Population (1982) (People)
Alto Paraguay,#d95f02,17900,9021
Alto Parana,#7570b3,819600,199644
Amambay,#7570b3,169600,68395
Asuncion,#66a61e,522300,454881
Boqueron,#e6ab02,65600,14790
Caaguazu,#d95f02,557700,299437
Caazapa,#66a61e,189500,109452
Canindeyu,#1b9e77,230600,66409
Central,#e6ab02,2158200,497388
Concepcion,#e6ab02,251300,133977
Cordillera,#66a61e,307300,194011
Guaira,#e7298a,225400,143510
Itapua,#e7298a,608200,262680
Misiones,#d95f02,126500,77475
Neembucu,#1b9e77,89800,70338
Paraguari,#7570b3,257600,204399
Presidente Hayes,#1b9e77,125700,33021
San Pedro,#e7298a,430000,191002
