Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Amazonas,AM,5,39249.0,379384.0
Ancash,AN,2,35826.0,1083519.0
Apurimac,AP,4,20896.0,405759.0
Arequipa,AR,2,63344.0,1382730.0
Ayacucho,AY,6,43815.0,616176.0
Cajamarca,CJ,2,33248.0,1341012.0
Callao,CL,2,147.0,994494.0
Cusco,CS,3,71892.0,1205527.0
Huancavelica,HV,4,22131.0,347639.0
Huanuco,HC,4,36887.0,721047.0
Ica,IC,5,21328.0,850765.0
Junin,JU,5,44410.0,1246038.0
La Libertad,LL,3,25515.0,1778080.0
Lambayeque,LB,6,14213.0,1197260.0
Lima,LR,6,32137.0,910431.0
Lima Province,LP,1,2665.0,8574974.0
Loreto,LO,2,368852.0,883510.0
Madre de Dios,MD,6,85183.0,141070.0
Moquegua,MQ,1,15734.0,174863.0
Pasco,PA,3,25320.0,254065.0
Piura,PI,3,35891.0,1856809.0
Puno,PU,4,70003.0,1172697.0
San Martin,SM,1,51253.0,813381.0
Tacna,TA,5,16076.0,329332.0
Tumbes,TU,6,4669.0,224863.0
Ucayali,UC,1,102411.0,496459.0
