Region/Province,Colour,Population,Voting Age Population (2011) (People)
Amazonas,#e6ab02,379384,249935
Ancash,#e7298a,1083519,667743
Apurimac,#7570b3,405759,259635
Arequipa,#e7298a,1382730,794222
Ayacucho,#d95f02,616176,360589
Cajamarca,#e7298a,1341012,878434
Callao,#e7298a,994494,633740
Cusco,#1b9e77,1205527,776662
Huancavelica,#7570b3,347639,241739
Huanuco,#7570b3,721047,483274
Ica,#e6ab02,850765,466528
Junin,#e6ab02,1246038,748728
La Libertad,#1b9e77,1778080,1068887
Lambayeque,#d95f02,1197260,744997
Lima,#d95f02,910431,5972307
Lima Province,#66a61e,8574974,NA
Loreto,#e7298a,883510,559667
Madre de Dios,#d95f02,141070,78455
Moquegua,#66a61e,174863,116122
Pasco,#1b9e77,254065,167764
Piura,#1b9e77,1856809,1045419
Puno,#7570b3,1172697,772832
San Martin,#66a61e,813381,486052
Tacna,#e6ab02,329332,211598
Tumbes,#d95f02,224863,147946
Ucayali,#66a61e,496459,279386
