Region,Colour,Population,Nominal GRP
Greater Poland,#7570b3,3490597,51744000000
Holy Cross,#e7298a,1244400,11312000000
Kuyavian-Pomeranian,#e7298a,2079900,22960000000
Lesser Poland,#e6ab02,3395700,42112000000
Lodz,#66a61e,2470610,31584000000
Lower Silesian,#d95f02,2901000,43680000000
Lublin,#d95f02,2121600,19936000000
Lubusz,#1b9e77,1015440,11424000000
Masovian,#1b9e77,5391813,117376000000
Opole,#e7298a,988031,10752000000
Podlaskie,#e7298a,1182700,11536000000
Pomeranian,#d95f02,2328200,30576000000
Silesian,#1b9e77,4540100,64064000000
Subcarpathian,#7570b3,2128747,20272000000
Warmian-Masurian,#e6ab02,1431100,13776000000
West Pomeranian,#e7298a,1703000,19376000000
