Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Aveiro,AV,6,2747.0,695702.0
Beja,BE,6,10292.0,141178.0
Braga,BR,4,2704.0,828650.0
Braganca,BA,4,6597.0,124571.0
Castelo Branco,CB,2,6627.0,179038.0
Coimbra,CO,4,3972.0,405267.0
Evora,EV,1,7387.0,152865.0
Faro,FA,3,4951.0,438864.0
Guarda,GU,1,5537.0,144354.0
Leiria,LE,3,3507.0,454592.0
Lisboa,LI,2,2745.0,2271772.0
Portalegre,PA,5,6080.0,105479.0
Porto,PO,2,2330.0,1778146.0
Santarem,SA,6,6716.0,429719.0
Setubal,SE,5,5026.0,852328.0
Viana do Castelo,VC,1,2217.0,230954.0
Vila Real,VR,3,4307.0,191894.0
Viseu,VI,5,5009.0,354453.0
