Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Alba,AB,1,6242.0,325358.0
Arad,AR,3,7754.0,417247.0
Arges,AG,6,6826.0,579796.0
Bacau,BC,2,6621.0,584567.0
Bihor,BH,6,7544.0,561194.0
Bistrita-Nasaud,BN,1,5355.0,278705.0
Botosani,BT,1,4986.0,379484.0
Braila,BR,3,4766.0,289442.0
Brasov,BV,3,5363.0,551919.0
Bucharest,BI,5,238.0,1828018.0
Buzau,BZ,2,6103.0,413584.0
Calarasi,CL,2,5088.0,284173.0
Caras-Severin,CS,1,8520.0,271129.0
Cluj,CJ,4,6674.0,706859.0
Constanta,CT,4,7071.0,673455.0
Covasna,CV,4,3710.0,202077.0
Dambovita,DB,4,4054.0,491146.0
Dolj,DJ,6,7414.0,625256.0
Galati,GL,6,4466.0,503881.0
Giurgiu,GR,5,3526.0,266109.0
Gorj,GJ,2,5602.0,315478.0
Harghita,HR,1,6639.0,302257.0
Hunedoara,HD,5,7063.0,383492.0
Ialomita,IL,6,4453.0,255879.0
Iasi,IS,4,5476.0,792588.0
Ilfov,IF,1,1583.0,485194.0
Maramures,MM,3,6304.0,460469.0
Mehedinti,MH,3,4933.0,241258.0
Mures,MS,2,6714.0,535018.0
Neamt,NT,5,5896.0,441656.0
Olt,OT,1,5498.0,394250.0
Prahova,PH,5,4716.0,717842.0
Salaj,SJ,2,3864.0,211641.0
Satu Mare,SM,4,4418.0,332366.0
Sibiu,SB,5,5432.0,400882.0
Suceava,SV,6,8553.0,624246.0
Teleorman,TR,3,5790.0,334012.0
Timis,TM,6,8697.0,704871.0
Tulcea,TL,2,8499.0,194371.0
Valcea,VL,4,5765.0,349993.0
Vaslui,VS,3,5318.0,373487.0
Vrancea,VN,5,4857.0,320507.0
