Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Adygey,AD,4,7792.0,454485.0
Altay,AL,3,167996.0,2333762.0
Amur,AM,2,361908.0,793627.0
Arkhangel'sk,AR,4,589913.0,1144393.0
Astrakhan',AS,2,49024.0,1014374.0
Bashkortostan,BK,1,142947.0,4051333.0
Belgorod,BL,3,27134.0,1547788.0
Bryansk,BR,1,34857.0,1199951.0
Buryat,BU,4,351334.0,982940.0
Chechnya,CN,1,15647.0,1458401.0
Chelyabinsk,CL,6,88529.0,3475823.0
Chukot,CK,2,721481.0,49222.0
Chuvash,CV,3,18343.0,1223524.0
City of St. Petersburg,SP,6,1403.0,5381736.0
Dagestan,DA,3,50270.0,3085343.0
Gorno-Altay,GA,1,,
Ingush,IN,4,3628.0,497356.0
Irkutsk,IK,3,774846.0,2398617.0
Ivanovo,IV,2,21437.0,1003835.0
Kabardin-Balkar,KB,2,12470.0,865978.0
Kaliningrad,KN,3,15125.0,1002114.0
Kalmyk,KL,4,74731.0,272710.0
Kaluga,KG,4,29777.0,1009996.0
Kamchatka,KQ,3,464275.0,314870.0
Karachay-Cherkess,KC,3,14277.0,465664.0
Karelia,KI,5,180520.0,617920.0
Kemerovo,KE,4,95725.0,2673796.0
Khabarovsk,KH,4,787633.0,1321454.0
Khakass,KK,5,61569.0,536200.0
Khanty-Mansiy,KM,3,534801.0,1664089.0
Kirov,KV,1,120374.0,1272233.0
Komi,KO,6,416774.0,830381.0
Kostroma,KT,4,60211.0,637145.0
Krasnodar,KD,2,75485.0,5647652.0
Krasnoyarsk,KX,1,2366797.0,2872635.0
Kurgan,KU,4,71488.0,834666.0
Kursk,KS,5,29997.0,1106945.0
Leningrad,LN,1,83908.0,1846913.0
Lipetsk,LP,1,24047.0,1143749.0
Maga Buryatdan,MG,6,462464.0,141033.0
Mariy-El,ME,4,23375.0,680509.0
Mordovia,MR,1,26128.0,795579.0
Moscow City,MSK,1,2561.0,12630289.0
Moskva,MS,2,44329.0,7596336.0
Murmansk,MM,2,144902.0,748099.0
Nenets,NN,1,176810.0,43792.0
Nizhegorod,NZ,5,76624.0,3214375.0
North Ossetia,NO,6,7987.0,699204.0
Novgorod,NG,5,54501.0,600382.0
Novosibirsk,NS,2,177756.0,2793278.0
Omsk,OM,5,141140.0,1944546.0
Orel,OL,2,24652.0,739327.0
Orenburg,OB,5,123702.0,1962860.0
Penza,PZ,2,43352.0,1317535.0
Perm',PE,4,160236.0,2610476.0
Primor'ye,PR,1,164673.0,1903289.0
Pskov,PS,2,55399.0,629659.0
Rostov,RO,3,100967.0,4203634.0
Ryazan',RZ,6,39605.0,1114312.0
Sakha,SK,5,3083523.0,967522.0
Sakhalin,SL,5,87101.0,489380.0
Samara,SA,2,53565.0,3183729.0
Saratov,SR,1,101240.0,2440814.0
Smolensk,SM,5,49779.0,942786.0
Stavropol',ST,5,66160.0,2795431.0
Sverdlovsk,SV,2,194307.0,4316264.0
Tambov,TB,3,34462.0,1015369.0
Tatarstan,TT,6,67847.0,3898700.0
Tomsk,TO,6,314391.0,1077796.0
Tula,TL,5,25679.0,1478777.0
Tuva,TU,2,168604.0,324537.0
Tver',TV,4,84201.0,1269182.0
Tyumen',TY,1,1464173.0,3724538.0
Udmurt,UD,2,42061.0,1507452.0
Ul'yanovsk,UL,4,37181.0,1238596.0
Vladimir,VL,3,29084.0,1365384.0
Volgograd,VG,5,112877.0,2507831.0
Vologda,VO,2,144527.0,1167793.0
Voronezh,VR,6,52216.0,2327703.0
Yamal-Nenets,YN,5,769250.0,542065.0
Yaroslavl',YS,6,36177.0,1259935.0
Yevrey,YV,6,36271.0,159955.0
Zabaykal'ye,ZB,6,431892.0,1065969.0
