Region,Colour,Population,GDP
Adygey,#7570b3,454485,3439
Altay,#1b9e77,2333762,19766
Amur,#e7298a,793627,10388
Arkhangel'sk,#7570b3,1144393,23836
Astrakhan',#e7298a,1014374,12751
Bashkortostan,#66a61e,4051333,55110
Belgorod,#1b9e77,1547788,27334
Bryansk,#66a61e,1199951,10725
Buryat,#7570b3,982940,8156
Chechnya,#66a61e,1458401,6235
Chelyabinsk,#d95f02,3475823,43815
Chukot,#e7298a,49222,2496
Chuvash,#1b9e77,1223524,10375
City of St. Petersburg,#d95f02,5381736,117035
Dagestan,#1b9e77,3085343,23757
Gorno-Altay,#66a61e,NA,NA
Ingush,#7570b3,497356,2302
Irkutsk,#1b9e77,2398617,40044
Ivanovo,#e7298a,1003835,6666
Kabardin-Balkar,#e7298a,865978,5213
Kaliningrad,#1b9e77,1002114,13514
Kalmyk,#7570b3,272710,2032
Kaluga,#7570b3,1009996,14340
Kamchatka,#1b9e77,314870,6417
Karachay-Cherkess,#1b9e77,465664,3054
Karelia,#e6ab02,617920,8192
Kemerovo,#7570b3,2673796,32983
Khabarovsk,#7570b3,1321454,24240
Khakass,#e6ab02,536200,7080
Khanty-Mansiy,#1b9e77,1664089,124714
Kirov,#66a61e,1272233,11048
Komi,#d95f02,830381,21221
Kostroma,#7570b3,637145,6457
Krasnodar,#e7298a,5647652,79083
Krasnoyarsk,#66a61e,2872635,62808
Kurgan,#7570b3,834666,7456
Kursk,#e6ab02,1106945,13126
Leningrad,#66a61e,1846913,31507
Lipetsk,#66a61e,1143749,17462
Maga Buryatdan,#d95f02,141033,4281
Mariy-El,#7570b3,680509,6361
Mordovia,#66a61e,795579,7542
Moscow City,#66a61e,12630289,565242
Moskva,#e7298a,7596336,119397
Murmansk,#e7298a,748099,14134
Nenets,#66a61e,43792,8107
Nizhegorod,#e6ab02,3214375,44940
North Ossetia,#d95f02,699204,5597
Novgorod,#e6ab02,600382,9088
Novosibirsk,#e7298a,2793278,39509
Omsk,#e6ab02,1944546,26430
Orel,#e7298a,739327,7932
Orenburg,#e6ab02,1962860,32272
Penza,#e7298a,1317535,13136
Perm',#7570b3,2610476,42712
Primor'ye,#66a61e,1903289,28396
Pskov,#e7298a,629659,5353
Rostov,#1b9e77,4203634,44141
Ryazan',#d95f02,1114312,13121
Sakha,#e6ab02,967522,29132
Sakhalin,#e6ab02,489380,35016
Samara,#e7298a,3183729,50836
Saratov,#66a61e,2440814,24813
Smolensk,#e6ab02,942786,10359
Stavropol',#e6ab02,2795431,23883
Sverdlovsk,#e7298a,4316264,73319
Tambov,#1b9e77,1015369,12172
Tatarstan,#d95f02,3898700,73759
Tomsk,#d95f02,1077796,18891
Tula,#e6ab02,1478777,18026
Tuva,#e7298a,324537,2061
Tver',#7570b3,1269182,13565
Tyumen',#66a61e,3724538,228527
Udmurt,#e7298a,1507452,19504
Ul'yanovsk,#7570b3,1238596,12314
Vladimir,#1b9e77,1365384,14470
Volgograd,#e6ab02,2507831,31555
Vologda,#e7298a,1167793,17140
Voronezh,#d95f02,2327703,31291
Yamal-Nenets,#e6ab02,542065,71118
Yaroslavl',#d95f02,1259935,17128
Yevrey,#d95f02,159955,1842
Zabaykal'ye,#d95f02,1065969,10043
