Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Adygey,AD,1,8055,439996
Altay,AL,0,167587,2419755
Amur,AM,4,364873,830103
Arkhangel'sk,AR,4,401430,1227626
Astrakhan',AS,5,46371,1010073
Bashkortostan,BK,3,144291,4072292
Belgorod,BL,1,28403,1532526
Bryansk,BR,1,34256,1278217
Buryat,BU,1,354721,972021
Chechnya,CN,4,15145,1268989
Chelyabinsk,CL,4,88939,3476217
Chukot,CK,4,719630,50526
Chuvash,CV,0,18425,1251619
City of St. Petersburg,SP,0,2038,4879566
Dagestan,DA,3,49429,2910249
Gorno-Altay,GA,5,93027,206168
Ingush,IN,0,3229,412529
Irkutsk,IK,0,772295,2428750
Ivanovo,IV,5,23674,1061651
Kabardin-Balkar,KB,2,11735,859939
Kaliningrad,KN,3,13533,941873
Kalmyk,KL,2,74530,289481
Kaluga,KG,3,28992,1010930
Kamchatka,KQ,3,457876,322079
Karachay-Cherkess,KC,3,15092,477859
Karelia,KI,0,173568,643548
Kemerovo,KE,3,95676,2763135
Khabarovsk,KH,0,781293,1343869
Khakass,KK,4,59771,532403
Khanty-Mansiy,KM,3,534563,1272468
Kirov,KV,0,119691,1341312
Komi,KO,5,417479,901189
Kostroma,KT,2,60244,667562
Krasnodar,KD,2,76621,5226647
Krasnoyarsk,KX,5,2324962,2828187
Kurgan,KU,2,73057,910807
Kursk,KS,0,31043,1127081
Leningrad,LN,5,85204,1716868
Lipetsk,LP,1,24466,1173513
Magadan,MG,2,461287,156996
Mariy-El,ME,2,23530,696459
Mordovia,MR,2,26216,834755
Moscow City,MSK,4,1064,11503501
Moskva,MS,1,46760,7095120
Murmansk,MM,5,143636,795409
Nenets,NN,2,176261,42090
Nizhegorod,NZ,1,74952,3310597
North Ossetia,NO,5,7114,712980
Novgorod,NG,4,55783,634111
Novosibirsk,NS,5,176929,2665911
Omsk,OM,1,139385,1977665
Orel,OL,5,24343,786935
Orenburg,OB,1,124762,2033072
Penza,PZ,4,42853,1386186
Perm',PE,2,161503,2635276
Primor'ye,PR,2,162066,1956497
Pskov,PS,3,55263,673423
Rostov,RO,0,101028,4277976
Ryazan',RZ,3,39654,1154114
Sakha,SK,1,3073737,958528
Sakhalin,SL,4,84375,497973
Samara,SA,0,53377,3215532
Saratov,SR,3,100811,2521892
Smolensk,SM,0,49392,985537
Stavropol',ST,1,67265,2786281
Sverdlovsk,SV,0,193912,4297747
Tambov,TB,2,34214,1091994
Tatarstan,TT,5,68862,3786488
Tomsk,TO,4,314984,1047394
Tula,TL,4,25461,1553925
Tuva,TU,3,168827,307930
Tver',TV,2,84522,1353392
Tyumen',TY,5,158434,1537416
Udmurt,UD,4,41619,1521420
Ul'yanovsk,UL,1,36847,1292799
Vladimir,VL,0,29093,1443693
Volgograd,VG,1,112776,2610161
Vologda,VO,3,146511,1202444
Voronezh,VR,5,51724,2335380
Yamal-Nenets,YN,1,685516,522904
Yaroslavl',YS,4,35784,1272468
Yevrey,YV,2,35914,176558
Zabaykal'ye,ZB,3,430611,1107107
