Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Ang Mo Kio,AM,5,14,174770
Bedok,BD,0,22,289750
Bishan,BS,1,8,90700
Boon Lay,BL,3,8,30
Bukit Batok,BK,0,11,139270
Bukit Merah,BM,2,14,155840
Bukit Panjang,BP,5,9,139030
Bukit Timah,BT,4,18,74470
Central Water Catchment,CC,0,37,10
Changi,CH,5,41,2530
Changi Bay,CB,0,2,0
Choa Chu Kang,CK,1,6,174330
Clementi,CL,2,9,91630
Downtown Core,DT,0,4,3720
Geylang,GL,4,10,116960
Hougang,HG,5,14,222310
Jurong East,JE,1,18,84980
Jurong West,JW,5,15,272660
Kallang,KL,1,9,101210
Lim Chu Kang,LK,4,17,90
Mandai,MD,4,12,2120
Marina East,ME,2,2,0
Marina South,MS,1,2,0
Marine Parade,MP,3,6,48730
Museum,MU,4,1,380
Newton,NT,5,2,6920
North-Eastern Islands,NE,5,67,60
Novena,NV,2,9,47990
Orchard,OR,3,1,920
Outram,OT,4,1,22080
Pasir Ris,PR,0,16,139890
Paya Lebar,PL,2,12,40
Pioneer,PN,2,12,100
PuunggolL,PG,3,10,109750
Queenstown,QT,1,22,98050
River Valley,RV,5,1,9190
Rochor,RC,3,2,14590
Seletar,SL,2,11,270
Sembawang,SB,5,12,76530
Sengkang,SE,1,11,206680
Serangoon,SG,0,10,120670
Simpang,SM,1,8,0
Singapore River,SR,1,1,2720
Southern Islands,SI,3,7,1480
Straits View,SV,2,1,0
Sungei Kadut,SK,2,17,850
Tampines,TM,4,21,261230
Tanglin,TN,0,8,19000
Tengah,TH,4,8,10
Toa Payoh,TP,3,9,124940
Tuas,TS,0,45,70
Western Islands,WI,4,45,0
Western Water Catchment,WC,3,70,900
Woodlands,WD,0,14,250290
Yishun,YS,3,21,201970
