Province/City,Colour,Population,GDP
Busan,#7570b3,3400000,66459547895
Chungcheongbuk-do,#1b9e77,1620000,44379857973
Chungcheongnam-do,#e7298a,2180000,92285851382
Daegu,#1b9e77,2440000,42585471022
Daejeon,#d95f02,510000,30605252850
Gangwon-do,#e7298a,1520000,33036543167
Gwangju,#e7298a,1490000,28152059058
Gyeonggi-do,#66a61e,13100000,297000000000
Gyeongsangbuk-do,#7570b3,2670000,84089653416
Gyeongsangnam-do,#d95f02,3350000,95924665404
Incheon,#d95f02,2940000,61418166126
Jeju,#e6ab02,660000,12452590995
Jeollabuk-do,#e6ab02,1820000,40123259830
Jeollanam-do,#66a61e,1790000,58016122519
Sejong,#7570b3,310000,NA
Seoul,#e6ab02,9670000,304000000000
Ulsan,#1b9e77,1150000,64289253238
