Autonomous Community/City,Colour,Population,GDP
Andalucia,#66a61e,8446561,85233000000
Aragon,#e6ab02,1324397,23954000000
Cantabria,#e6ab02,581949,16299000000
Castilla y Leon,#7570b3,2402877,23653000000
Castilla-La Mancha,#d95f02,2220270,1.31066E+11
Cataluna,#1b9e77,7609499,27565000000
Ceuta,#e6ab02,84434,2018000000
Comunidad de Madrid,#e6ab02,6685471,37152000000
Comunidad Foral de Navarra,#66a61e,652526,48829000000
Comunidad Valenciana,#7570b3,4998711,10054000000
Extremadura,#1b9e77,1062797,68410000000
Galicia,#1b9e77,2698764,73896000000
Islas Baleares,#e7298a,1198576,2.72569E+11
La Rioja,#d95f02,314487,43742000000
Melilla,#e7298a,84286,1852000000
Pais Vasco,#e7298a,2181919,38432000000
Principado de Asturias,#d95f02,1019993,2.70074E+11
Region de Murcia,#e7298a,1494442,3870000000
