Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Ampara,APR,4,2984.0,649402.0
Anuradhapura,AD,6,7128.0,860575.0
Badulla,BD,2,2818.0,815405.0
Batticaloa,BC,3,2463.0,526567.0
Colombo,CO,5,642.0,2324349.0
Galle,GL,6,1673.0,1063334.0
Gampaha,GQ,3,1393.0,2304833.0
Hambantota,HB,6,2593.0,599903.0
Jaffna,JA,3,1114.0,583882.0
Kalutara,KT,4,1606.0,1221948.0
Kandy,KY,6,2365.0,1375382.0
Kegalle,KE,1,1663.0,840648.0
Kilinochchi,KL,1,1171.0,113510.0
Kurunegala,KG,5,4771.0,1618465.0
Mannar,MB,4,1963.0,99570.0
Matale,MT,3,1987.0,484531.0
Matara,MH,5,1246.0,814048.0
Moneragala,MJ,1,7133.0,451058.0
Mullaitivu,MP,2,1580.0,92238.0
Nuwara Eliya,NW,4,1228.0,711644.0
Polonnaruwa,PR,2,3403.0,406088.0
Puttalam,PX,2,2976.0,762396.0
Ratnapura,RN,3,3237.0,1088007.0
Trincomalee,TC,1,2616.0,379541.0
Vavuniya,VA,5,2642.0,172115.0
