State,Colour,Population,Population (2009) (People)
Al Jazirah,#66a61e,5096920,3709800
Al Qadarif,#d95f02,2208385,1419485
Blue Nile,#1b9e77,1108391,858071
Central Darfur,#66a61e,2499000,NA
East Darfur,#7570b3,1119451,NA
Kassala,#7570b3,2519071,1821406
Khartoum,#1b9e77,7993851,5515257
North Darfur,#d95f02,2304950,2140392
North Kurdufan,#7570b3,3174029,2953804
Northern,#66a61e,936255,720907
Red Sea,#d95f02,1482053,1307840
River Nile,#e7298a,1511442,1157917
Sennar,#e6ab02,1918692,1339739
South Darfur,#e7298a,5353025,4210607
South Kurdufan,#e6ab02,2107623,1598117
West Darfur,#e6ab02,1775945,1349308
West Kurdufan,#1b9e77,1178537,NA
White Nile,#e7298a,2493880,1795888
