Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Aargau,AG,5,1404.0,678207.0
Appenzell Ausserrhoden,AR,6,243.0,55234.0
Appenzell Innerrhoden,AI,2,172.0,16145.0
Basel-Landschaft,BL,6,518.0,289527.0
Basel-Stadt,BS,1,37.0,200298.0
Bern,BE,3,5960.0,1034977.0
Fribourg,FR,5,1671.0,318714.0
Geneva,GE,3,282.0,499480.0
Glarus,GL,2,685.0,40403.0
Graubunden,GR,5,7105.0,198379.0
Jura,JU,5,839.0,73419.0
Lucerne,LU,4,1494.0,409557.0
Neuchatel,NE,4,802.0,176850.0
Nidwalden,NW,5,276.0,43223.0
Obwalden,OW,1,491.0,37841.0
Sankt Gallen,SG,3,2031.0,507697.0
Schaffhausen,SH,2,298.0,81991.0
Schwyz,SZ,6,908.0,159165.0
Solothurn,SO,2,790.0,273194.0
Thurgau,TG,4,992.0,276472.0
Ticino,TI,1,2812.0,353343.0
Uri,UR,4,1077.0,36433.0
Valais,VS,5,5224.0,343955.0
Vaud,VD,1,3212.0,799145.0
Zug,ZG,2,239.0,126837.0
Zurich,ZH,1,1729.0,1520968.0
