Region,Colour,Population,GDP
Aargau,#e6ab02,678207,30124000000
Appenzell Ausserrhoden,#d95f02,55234,2308000000
Appenzell Innerrhoden,#e7298a,16145,737000000
Basel-Landschaft,#d95f02,289527,14586000000
Basel-Stadt,#66a61e,200298,24280000000
Bern,#1b9e77,1034977,58595000000
Fribourg,#e6ab02,318714,13642000000
Geneva,#1b9e77,499480,35605000000
Glarus,#e7298a,40403,2044000000
Graubunden,#e6ab02,198379,10512000000
Jura,#e6ab02,73419,3465000000
Lucerne,#7570b3,409557,19750000000
Neuchatel,#7570b3,176850,11703000000
Nidwalden,#e6ab02,43223,2232000000
Obwalden,#66a61e,37841,1835000000
Sankt Gallen,#1b9e77,507697,27108000000
Schaffhausen,#e7298a,81991,5177000000
Schwyz,#d95f02,159165,6906000000
Solothurn,#e7298a,273194,13159000000
Thurgau,#7570b3,276472,12062000000
Ticino,#66a61e,353343,21777000000
Uri,#7570b3,36433,1444000000
Valais,#e6ab02,343955,13395000000
Vaud,#66a61e,799145,39385000000
Zug,#e7298a,126837,13906000000
Zurich,#66a61e,1520968,105794000000
