Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Amnat Charoen,AC,1,3386.0,378438.0
Ang Thong,AT,6,995.0,279654.0
Bangkok Metropolis,BM,6,1626.0,5666264.0
Bueng Kan,BK,3,4229.0,424091.0
Buri Ram,BR,3,10491.0,1595747.0
Chachoengsao,CC,2,5407.0,720113.0
Chai Nat,CN,6,2575.0,326611.0
Chaiyaphum,CY,1,13244.0,1137357.0
Chanthaburi,CT,1,6463.0,537698.0
Chiang Mai,CM,2,23482.0,1779254.0
Chiang Rai,CR,1,12371.0,1298304.0
Chon Buri,CB,5,4587.0,1558301.0
Chumphon,CP,2,6141.0,511304.0
Kalasin,KL,2,7247.0,983418.0
Kamphaeng Phet,KP,2,9048.0,727807.0
Kanchanaburi,KN,2,20110.0,895525.0
Khon Kaen,KK,6,11113.0,1802872.0
Krabi,KR,4,4849.0,476739.0
Lampang,LG,6,13256.0,738316.0
Lamphun,LN,4,4741.0,405075.0
Loei,LE,4,11098.0,642950.0
Lop Buri,LB,5,6509.0,755556.0
Mae Hong Son,MH,5,13475.0,284138.0
Maha Sarakham,MS,4,5856.0,962665.0
Mukdahan,MD,3,4367.0,353174.0
Nakhon Nayok,NN,5,2222.0,260751.0
Nakhon Pathom,NP,4,2218.0,920030.0
Nakhon Phanom,NF,6,5749.0,719136.0
Nakhon Ratchasima,NR,4,21537.0,2648927.0
Nakhon Sawan,NS,1,9928.0,1059887.0
Nakhon Si Thammarat,NT,5,10079.0,1561927.0
Nan,NA,4,12988.0,478227.0
Narathiwat,NW,6,4516.0,808020.0
Nong Bua Lam Phu,NB,2,4353.0,512780.0
Nong Khai,NK,2,3408.0,522311.0
Nonthaburi,NO,5,660.0,1265387.0
Pathum Thani,PT,1,1565.0,1163604.0
Pattani,PI,5,1986.0,725104.0
Phangnga,PG,2,3986.0,268788.0
Phatthalung,PL,4,3872.0,524865.0
Phayao,PY,3,6511.0,472356.0
Phetchabun,PH,3,12988.0,992451.0
Phetchaburi,PE,5,6381.0,485191.0
Phichit,PC,4,4522.0,536311.0
Phitsanulok,PS,5,11142.0,865247.0
Phra Nakhon Si Ayutthaya,PA,2,2647.0,820188.0
Phrae,PR,1,6854.0,441726.0
Phuket,PU,1,545.0,416582.0
Prachin Buri,PB,1,5178.0,494680.0
Prachuap Khiri Khan,PK,3,6626.0,554116.0
Ranong,RN,6,3152.0,193370.0
Ratchaburi,RT,1,5361.0,873101.0
Rayong,RY,4,3805.0,734753.0
Roi Et,RE,6,8154.0,1305211.0
Sa Kaeo,SK,6,7132.0,566303.0
Sakon Nakhon,SN,5,10044.0,1153390.0
Samut Prakan,SP,3,974.0,1344875.0
Samut Sakhon,SS,5,881.0,584703.0
Samut Songkhram,SM,3,419.0,193305.0
Saraburi,SR,6,3709.0,645911.0
Satun,SA,1,2695.0,323586.0
Si Sa Ket,SI,1,9240.0,1472859.0
Sing Buri,SB,3,876.0,208446.0
Songkhla,SG,6,7712.0,1435968.0
Sukhothai,SO,4,7053.0,595072.0
Suphan Buri,SH,1,5630.0,846334.0
Surat Thani,ST,3,13363.0,1068010.0
Surin,SU,2,9168.0,1396831.0
Tak,TK,3,18078.0,665620.0
Trang,TG,2,4873.0,643164.0
Trat,TT,2,2914.0,229958.0
Ubon Ratchathani,UR,6,16117.0,1878146.0
Udon Thani,UN,3,11658.0,1586646.0
Uthai Thani,UT,5,6946.0,328618.0
Uttaradit,UD,3,8243.0,453103.0
Yala,YL,4,4491.0,536330.0
Yasothon,YS,4,4292.0,537299.0
