Province,Colour,Population,GDP
Amnat Charoen,#66a61e,378438,465838475
Ang Thong,#d95f02,279654,704392203
Bangkok Metropolis,#d95f02,5666264,133623152542
Bueng Kan,#1b9e77,424091,662637006
Buri Ram,#1b9e77,1595747,2317742542
Chachoengsao,#e7298a,720113,9635192090
Chai Nat,#d95f02,326611,803023955
Chaiyaphum,#66a61e,1137357,1667904802
Chanthaburi,#66a61e,537698,3111858531
Chiang Mai,#e7298a,1779254,6284976667
Chiang Rai,#66a61e,1298304,2820048475
Chon Buri,#e6ab02,1558301,25769310000
Chumphon,#e7298a,511304,2322273446
Kalasin,#e7298a,983418,1498829492
Kamphaeng Phet,#e7298a,727807,3022498079
Kanchanaburi,#e7298a,895525,2608318475
Khon Kaen,#d95f02,1802872,5503787627
Krabi,#7570b3,476739,2470187232
Lampang,#d95f02,738316,1950425593
Lamphun,#7570b3,405075,1985757599
Loei,#7570b3,642950,1270441271
Lop Buri,#e6ab02,755556,2760852203
Mae Hong Son,#e6ab02,284138,346073446
Maha Sarakham,#7570b3,962665,1532501695
Mukdahan,#1b9e77,353174,657761045
Nakhon Nayok,#e6ab02,260751,714342288
Nakhon Pathom,#7570b3,920030,8829081356
Nakhon Phanom,#d95f02,719136,1170646780
Nakhon Ratchasima,#7570b3,2648927,7446964068
Nakhon Sawan,#66a61e,1059887,2941128785
Nakhon Si Thammarat,#e6ab02,1561927,4251548079
Nan,#7570b3,478227,852598023
Narathiwat,#d95f02,808020,1189498164
Nong Bua Lam Phu,#e7298a,512780,660636695
Nong Khai,#e7298a,522311,1068935593
Nonthaburi,#e6ab02,1265387,8044070678
Pathum Thani,#66a61e,1163604,9796534237
Pattani,#e6ab02,725104,1533333814
Phangnga,#e7298a,268788,1808310706
Phatthalung,#7570b3,524865,992451186
Phayao,#1b9e77,472356,977243051
Phetchabun,#1b9e77,992451,2228180480
Phetchaburi,#e6ab02,485191,1775989576
Phichit,#7570b3,536311,1197642571
Phitsanulok,#e6ab02,865247,2456791780
Phra Nakhon Si Ayutthaya,#e7298a,820188,11271563305
Phrae,#66a61e,441726,777129718
Phuket,#66a61e,416582,5412964068
Prachin Buri,#66a61e,494680,6439512373
Prachuap Khiri Khan,#1b9e77,554116,2456868220
Ranong,#d95f02,193370,725525424
Ratchaburi,#66a61e,873101,4901112768
Rayong,#7570b3,734753,25351467345
Roi Et,#d95f02,1305211,1939653785
Sa Kaeo,#d95f02,566303,1139004689
Sakon Nakhon,#e6ab02,1153390,1483603079
Samut Prakan,#1b9e77,1344875,19545603898
Samut Sakhon,#e6ab02,584703,10345305169
Samut Songkhram,#1b9e77,193305,589687006
Saraburi,#d95f02,645911,6700851102
Satun,#66a61e,323586,987468927
Si Sa Ket,#66a61e,1472859,1883531808
Sing Buri,#1b9e77,208446,705975989
Songkhla,#d95f02,1435968,6826769237
Sukhothai,#7570b3,595072,1131895706
Suphan Buri,#66a61e,846334,2286246864
Surat Thani,#1b9e77,1068010,5676485000
Surin,#e7298a,1396831,1989910169
Tak,#1b9e77,665620,1343106017
Trang,#e7298a,643164,1901836158
Trat,#e7298a,229958,1111383249
Ubon Ratchathani,#d95f02,1878146,3207552486
Udon Thani,#1b9e77,1586646,3038201695
Uthai Thani,#e6ab02,328618,739750508
Uttaradit,#1b9e77,453103,948179661
Yala,#7570b3,536330,1241769831
Yasothon,#7570b3,537299,735894181
