Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Ariana,AR,2,457,576088
Béja,BJ,4,3663,303032
Ben Arous,BA,2,662,631842
Bizerte,BI,0,3598,568219
El Kef,KF,4,5105,243156
Gabès,GB,2,7489,374300
Gafsa,GF,4,7550,337331
Jendouba,JE,1,3097,401477
Kébili,KB,0,22251,156961
Kairouan,KR,2,6533,570559
Kasserine,KS,5,8207,439243
Médenine,ME,5,9298,479520
Mahdia,MH,3,2866,410812
Manouba,MN,1,1139,379518
Monastir,MO,4,1084,548828
Nabeul,,3,2829,787920
Sfax,SF,1,7017,955421
Sidi Bouzid,SD,3,7433,429912
Siliana,SL,0,4670,223087
Sousse,SO,0,2614,674971
Tataouine,TA,1,38484,149453
Tozeur,TO,3,6058,107912
Tunis,TU,5,288,1056247
Zaghouan,ZA,5,2840,176945
