Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Adana,AA,6,15852.0,2237940.0
Adiyaman,AD,6,7415.0,626465.0
Afyon,AF,3,14743.0,729483.0
Agri,AG,1,10295.0,536199.0
Aksaray,AK,2,7631.0,416367.0
Amasya,AM,4,6217.0,337800.0
Ankara,AN,1,25741.0,5639076.0
Antalya,AL,2,21164.0,2511700.0
Ardahan,AR,1,4778.0,97319.0
Artvin,AV,3,7772.0,170875.0
Aydin,AY,1,8005.0,1110972.0
Balikesir,BK,2,14701.0,1228620.0
Bartin,BR,2,2588.0,198249.0
Batman,BM,4,4335.0,608659.0
Bayburt,BB,4,3393.0,84843.0
Bilecik,BC,1,4644.0,219427.0
Bingol,BG,4,8133.0,279812.0
Bitlis,BT,5,8678.0,348115.0
Bolu,BL,2,8265.0,316126.0
Burdur,BD,1,7252.0,270796.0
Bursa,BU,6,10884.0,3056120.0
Canakkale,CK,6,9778.0,542157.0
Cankiri,CI,6,7925.0,195789.0
Corum,CM,3,12319.0,530864.0
Denizli,DN,4,10899.0,1037208.0
Diyarbakir,DY,1,14821.0,1756353.0
Duzce,DU,4,2393.0,392166.0
Edirne,ED,1,6128.0,413903.0
Elazig,EG,6,9289.0,591098.0
Erzincan,EN,3,11544.0,234747.0
Erzurum,EM,6,24337.0,762062.0
Eskisehir,ES,5,14058.0,887475.0
Gaziantep,GA,3,7150.0,2069364.0
Giresun,GI,2,6811.0,448400.0
Gumushane,GU,6,6611.0,164521.0
Hakkari,HK,3,6185.0,280991.0
Hatay,HT,4,5801.0,1628894.0
Igdir,IG,5,3922.0,199442.0
Isparta,IP,5,8876.0,444914.0
Istanbul,IB,1,4760.0,15519267.0
Izmir,IZ,3,12374.0,4367251.0
Kahramanmaras,KM,2,14550.0,1154102.0
Karabuk,KB,5,3314.0,248458.0
Karaman,KR,3,8323.0,253279.0
Kars,KA,3,10346.0,285410.0
Kastamonu,KS,4,13465.0,379405.0
Kayseri,KY,3,15956.0,1407409.0
Kilis,KI,6,1423.0,142490.0
Kinkkale,KK,4,4672.0,283017.0
Kirklareli,KL,2,6368.0,361836.0
Kirsehir,KH,3,6784.0,242938.0
Kocaeli,KC,4,4046.0,1953035.0
Konya,KO,4,40933.0,2232374.0
Kutahya,KU,4,12216.0,579257.0
Malatya,ML,5,11502.0,800165.0
Manisa,MN,5,13212.0,1440611.0
Mardin,MR,3,10537.0,838778.0
Mersin,IC,5,15260.0,1840425.0
Mugla,MG,3,12862.0,983142.0
Mus,MS,2,8131.0,408809.0
Nevsehir,NV,6,5140.0,303010.0
Nigde,NG,1,7189.0,362861.0
Ordu,OR,3,5907.0,754198.0
Osmaniye,OS,5,3064.0,538759.0
Rize,RI,2,3653.0,343212.0
Sakarya,SK,3,4708.0,1029650.0
Samsun,SS,1,9535.0,1348542.0
Sanliurfa,SU,4,19599.0,2073614.0
Siirt,SI,1,4987.0,330280.0
Sinop,SP,5,6016.0,218243.0
Sirnak,SR,2,7882.0,NA
Sivas,SV,6,28342.0,638956.0
Tekirdag,TG,5,6608.0,NA
Tokat,TT,2,9844.0,612747.0
Trabzon,TB,1,5028.0,808974.0
Tunceli,TC,5,8045.0,84660.0
Usak,US,2,4922.0,370509.0
Van,VA,6,21110.0,1136757.0
Yalova,YL,2,644.0,270976.0
Yozgat,YZ,5,13158.0,421200.0
Zonguldak,ZO,6,3056.0,596053.0
