Province,Colour,Population,Population (1980) (People)
Adana,#d95f02,2237940,1211060
Adiyaman,#d95f02,626465,321959
Afyon,#1b9e77,729483,520215
Agri,#66a61e,536199,297713
Aksaray,#e7298a,416367,NA
Amasya,#7570b3,337800,296776
Ankara,#66a61e,5639076,2423789
Antalya,#e7298a,2511700,654950
Ardahan,#66a61e,97319,NA
Artvin,#1b9e77,170875,200919
Aydin,#66a61e,1110972,567973
Balikesir,#e7298a,1228620,766844
Bartin,#e7298a,198249,NA
Batman,#7570b3,608659,NA
Bayburt,#7570b3,84843,NA
Bilecik,#66a61e,219427,131701
Bingol,#7570b3,279812,190193
Bitlis,#e6ab02,348115,206691
Bolu,#e7298a,316126,411637
Burdur,#66a61e,270796,209129
Bursa,#d95f02,3056120,991396
Canakkale,#d95f02,542157,351845
Cankiri,#d95f02,195789,226479
Corum,#1b9e77,530864,500849
Denizli,#7570b3,1037208,530150
Diyarbakir,#66a61e,1756353,643619
Duzce,#7570b3,392166,NA
Edirne,#66a61e,413903,309192
Elazig,#d95f02,591098,384332
Erzincan,#1b9e77,234747,239010
Erzurum,#d95f02,762062,671718
Eskisehir,#e6ab02,887475,475593
Gaziantep,#1b9e77,2069364,684397
Giresun,#e7298a,448400,422942
Gumushane,#d95f02,164521,241690
Hakkari,#1b9e77,280991,123708
Hatay,#7570b3,1628894,709775
Igdir,#e6ab02,199442,NA
Isparta,#e6ab02,444914,297643
Istanbul,#66a61e,15519267,4074806
Izmir,#1b9e77,4367251,1685725
Kahramanmaras,#e7298a,1154102,624985
Karabuk,#e6ab02,248458,NA
Karaman,#1b9e77,253279,NA
Kars,#1b9e77,285410,591392
Kastamonu,#7570b3,379405,399330
Kayseri,#1b9e77,1407409,662435
Kilis,#d95f02,142490,NA
Kinkkale,#7570b3,283017,NA
Kirklareli,#e7298a,361836,234615
Kirsehir,#1b9e77,242938,207600
Kocaeli,#7570b3,1953035,501763
Konya,#7570b3,2232374,1344801
Kutahya,#7570b3,579257,436009
Malatya,#e6ab02,800165,524677
Manisa,#e6ab02,1440611,816435
Mardin,#1b9e77,838778,469193
Mersin,#e6ab02,1840425,720805
Mugla,#1b9e77,983142,387797
Mus,#e7298a,408809,246476
Nevsehir,#d95f02,303010,218418
Nigde,#66a61e,362861,436578
Ordu,#1b9e77,754198,629167
Osmaniye,#e6ab02,538759,NA
Rize,#e7298a,343212,325985
Sakarya,#1b9e77,1029650,476770
Samsun,#66a61e,1348542,875974
Sanliurfa,#7570b3,2073614,569068
Siirt,#66a61e,330280,365173
Sinop,#e6ab02,218243,239605
Sirnak,#e7298a,NA,NA
Sivas,#d95f02,638956,642359
Tekirdag,#e6ab02,NA,296239
Tokat,#e7298a,612747,549928
Trabzon,#66a61e,808974,646956
Tunceli,#e6ab02,84660,135444
Usak,#e7298a,370509,221381
Van,#d95f02,1136757,383254
Yalova,#e7298a,270976,NA
Yozgat,#e6ab02,421200,434435
Zonguldak,#d95f02,596053,804265
