Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Cherkasy,CK,5,20034.0,1186848.0
Chernihiv,CH,4,31865.0,986199.0
Chernivtsi,CV,4,7359.0,899755.0
Crimea,KR,5,26081.0,1911818.0
Dnipropetrovsk,DP,4,31974.0,3164030.0
Donetsk,DT,3,26517.0,4120098.0
Ivano-Frankivsk,IF,6,13928.0,1365366.0
Kharkiv,KK,2,31415.0,2649501.0
Kherson,KS,1,28461.0,1023856.0
Khmelnytskyi,KM,6,20645.0,1250797.0
Kiev,KV,2,28131.0,1781891.0
Kiev City,KC,6,839.0,2965013.0
Kirovohrad,KH,1,24588.0,928242.0
Lviv,LV,3,21831.0,2506733.0
Luhansk,LH,1,26684.0,2130788.0
Mykolayiv,MY,5,24598.0,1115657.0
Odessa,OD,2,33310.0,2373758.0
Poltava,PL,6,28748.0,1381365.0
Rivne,RV,4,20047.0,1151266.0
Sevastopol,SC,3,864.0,443212.0
Sumy,SM,3,23834.0,1063015.0
Ternopil,TP,5,13823.0,1035881.0
Transcarpathia,ZK,4,12777.0,1252693.0
Vinnytsya,VI,3,26513.0,1539308.0
Volyn,VO,2,20144.0,1030157.0
Zaporizhzhya,ZP,6,27180.0,1679889.0
Zhytomyr,ZT,1,29832.0,1203652.0
