Region,Colour,Population,GDP
Cherkasy,#e6ab02,1186848,3796508950
Chernihiv,#7570b3,986199,2906305620
Chernivtsi,#7570b3,899755,1598747380
Crimea,#e6ab02,1911818,5408006480
Dnipropetrovsk,#7570b3,3164030,17967997100
Donetsk,#1b9e77,4120098,20737208250
Ivano-Frankivsk,#d95f02,1365366,3920488980
Kharkiv,#e7298a,2649501,9984338890
Kherson,#66a61e,1023856,2350520510
Khmelnytskyi,#d95f02,1250797,3185958910
Kiev,#e7298a,1781891,8459178090
Kiev City,#d95f02,2965013,33476429550
Kirovohrad,#66a61e,928242,2678260080
Lviv,#1b9e77,2506733,7524045660
Luhansk,#66a61e,2130788,7136076810
Mykolayiv,#e6ab02,1115657,3546363150
Odessa,#e7298a,2373758,7861742490
Poltava,#d95f02,1381365,6870509400
Rivne,#7570b3,1151266,2646566850
Sevastopol,#1b9e77,443212,1201064130
Sumy,#1b9e77,1063015,3027614190
Ternopil,#e6ab02,1035881,2180518510
Transcarpathia,#7570b3,1252693,2599087720
Vinnytsya,#1b9e77,1539308,4010104320
Volyn,#e7298a,1030157,2429207150
Zaporizhzhya,#d95f02,1679889,6657764040
Zhytomyr,#66a61e,1203652,3017414070
