Region,RegionLabel,ColorGroup,Land Area (km sq.),Population (people)
Alabama,AL,4,133916,4780127
Arizona,AZ,2,295260,6392307
Arkansas,AR,4,137754,2915958
California,CA,1,411049,37252895
Colorado,CO,4,269596,5029324
Connecticut,CT,6,12997,3574118
Delaware,DE,2,5294,897936
District of Columbia,DC,3,179,601767
Florida,FL,3,151940,18804623
Georgia,GA,1,152577,9688681
Idaho,ID,3,216431,1567652
Illinois,IL,4,145934,12831549
Indiana,IN,5,93719,6484229
Iowa,IO,6,145752,3046869
Kansas,KS,1,213097,2853132
Kentucky,KY,2,104659,4339349
Louisiana,LA,5,123678,4533479
Maine,ME,1,86156,1328361
Maryland,MD,6,27091,5773785
Massachusetts,MA,3,21456,6547817
Michigan,MI,6,151585,9884129
Minnesota,MN,4,218601,5303925
Mississippi,MS,1,123515,2968103
Missouri,MO,3,180515,5988927
Montana,MT,6,380849,989417
Nebraska,NE,2,200349,1826341
Nevada,NV,5,286353,2700691
New Hampshire,NH,4,24033,1316466
New Jersey,NJ,3,20168,8791936
New Mexico,NM,5,314926,2059192
New York,NY,2,127190,19378087
North Carolina,NC,3,136413,9535692
North Dakota,ND,5,183118,672591
Ohio,OH,1,107044,11536725
Oklahoma,OK,6,181186,3751616
Oregon,OR,2,251419,3831073
Pennsylvania,PA,4,117348,12702887
Rhode Island,RH,2,3139,1052931
South Carolina,SC,5,80583,4625401
South Dakota,SD,1,199730,814191
Tennessee,TN,6,109153,6346275
Texas,TX,2,691030,25146105
Utah,UT,1,219888,2763888
Vermont,VT,6,24900,625745
Virginia,VA,5,105586,8001045
Washington,WA,4,176480,6724543
West Virginia,WV,3,62758,1853011
Wisconsin,WI,3,145436,5687289
Wyoming,WY,5,253325,563767
