Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
An Giang,AG,6,3603.0,2164200.0
Ba Ria - Vung Tau,BV,1,1951.0,1112900.0
Bac Giang,BG,5,4204.0,1691800.0
Bac Kan,BK,1,5276.0,327900.0
Bac Lieu,BL,3,2528.0,897000.0
Bac Ninh,BN,6,883.0,1247500.0
Ben Tre,BR,3,2390.0,1268200.0
Binh Dinh,BD,2,6297.0,1534800.0
Binh Duong,BI,5,2761.0,2163600.0
Binh Phuoc,BP,4,7056.0,979600.0
Binh Thuan,BU,6,8149.0,1239200.0
Ca Mau,CM,2,5261.0,1229600.0
Can Tho,CN,2,1473.0,1282300.0
Cao Bang,CB,5,7297.0,540400.0
Da Nang,DA,4,1031.0,1080700.0
Dak Lak,DC,6,13444.0,1919200.0
Dak Nong,DO,5,6701.0,645400.0
Dien Bien,DB,3,10281.0,576700.0
Dong Nai,DN,3,6010.0,3086100.0
Dong Thap,DT,1,3468.0,1693300.0
Gia Lai,GL,3,16069.0,1458500.0
Ha Giang,HG,4,8628.0,846500.0
Ha Nam,HM,6,927.0,808200.0
Ha Noi,HI,3,3616.0,7520700.0
Ha Tinh,HT,4,6340.0,1277500.0
Hai Duong,HD,1,1798.0,1807500.0
Hai Phong,HP,5,1498.0,2013800.0
Hau Giang,HU,1,1657.0,776700.0
Ho Chi Minh,HC,2,2161.0,8598700.0
Hoa Binh,HO,1,4921.0,846100.0
Hung Yen,HY,5,996.0,1188900.0
Khanh Hoa,KH,4,4976.0,1232400.0
Kien Giang,KG,4,6415.0,1810500.0
Kon Tum,KT,6,10036.0,535000.0
Lai Chau,LI,2,9840.0,456300.0
Lam Dong,LD,2,10057.0,1312900.0
Lang Son,LS,2,8989.0,790500.0
Lao Cai,LO,1,6910.0,705600.0
Long An,LA,4,4596.0,1503100.0
Nam Dinh,ND,4,1699.0,1854400.0
Nghe An,NA,5,17544.0,3157100.0
Ninh Binh,NB,2,1439.0,973300.0
Ninh Thuan,NT,1,3456.0,611800.0
Phu Tho,PT,5,3814.0,1404200.0
Phu Yen,PY,1,5197.0,909500.0
Quang Binh,QB,3,8413.0,887600.0
Quang Nam,QM,5,11042.0,1501100.0
Quang Ngai,QG,4,5379.0,1272800.0
Quang Ninh,QN,3,6411.0,1266500.0
Quang Tri,QT,6,4846.0,630600.0
Soc Trang,ST,2,3348.0,1315900.0
Son La,SL,6,15214.0,1242700.0
Tay Ninh,TN,6,4146.0,1133400.0
Thai Binh,TB,3,1727.0,1793200.0
Thai Nguyen,TY,4,3811.0,1268300.0
Thanh Hoa,TH,3,11884.0,3558200.0
Thua Thien Hue,TT,2,5265.0,1163600.0
Tien Giang,TG,5,2459.0,1762300.0
Tra Vinh,TV,6,2374.0,1049800.0
Tuyen Quang,TQ,6,6363.0,780100.0
Vinh Long,VL,4,1560.0,1051800.0
Vinh Phuc,VC,1,1327.0,1092400.0
Yen Bai,YB,3,7455.0,815600.0
