Province/Municipality,Colour,Population,Population (1995) (People)
An Giang,#d95f02,2164200,1970100
Ba Ria - Vung Tau,#66a61e,1112900,708900
Bac Giang,#e6ab02,1691800,1431000
Bac Kan,#66a61e,327900,254200
Bac Lieu,#1b9e77,897000,709500
Bac Ninh,#d95f02,1247500,916000
Ben Tre,#1b9e77,1268200,1281800
Binh Dinh,#e7298a,1534800,1394400
Binh Duong,#e6ab02,2163600,639000
Binh Phuoc,#7570b3,979600,533200
Binh Thuan,#d95f02,1239200,951700
Ca Mau,#e7298a,1229600,1041800
Can Tho,#e7298a,1282300,1739700
Cao Bang,#e6ab02,540400,489200
Da Nang,#7570b3,1080700,637300
Dak Lak,#d95f02,1919200,1398300
Dak Nong,#e6ab02,645400,NA
Dien Bien,#1b9e77,576700,NA
Dong Nai,#1b9e77,3086100,1844800
Dong Thap,#66a61e,1693300,1489300
Gia Lai,#1b9e77,1458500,850700
Ha Giang,#7570b3,846500,550300
Ha Nam,#d95f02,808200,763700
Ha Noi,#1b9e77,7520700,4730000
Ha Tinh,#7570b3,1277500,1247700
Hai Duong,#66a61e,1807500,1609100
Hai Phong,#e6ab02,2013800,1608200
Hau Giang,#66a61e,776700,NA
Ho Chi Minh,#e7298a,8598700,4640400
Hoa Binh,#66a61e,846100,718500
Hung Yen,#e6ab02,1188900,1033200
Khanh Hoa,#7570b3,1232400,959400
Kien Giang,#7570b3,1810500,1392000
Kon Tum,#d95f02,535000,279500
Lai Chau,#e7298a,456300,535500
Lam Dong,#e7298a,1312900,856300
Lang Son,#e7298a,790500,679200
Lao Cai,#66a61e,705600,550100
Long An,#7570b3,1503100,1250800
Nam Dinh,#7570b3,1854400,1820500
Nghe An,#e6ab02,3157100,2714900
Ninh Binh,#e7298a,973300,855500
Ninh Thuan,#66a61e,611800,466500
Phu Tho,#e6ab02,1404200,1211700
Phu Yen,#66a61e,909500,740300
Quang Binh,#1b9e77,887600,746100
Quang Nam,#e6ab02,1501100,1322000
Quang Ngai,#7570b3,1272800,1149000
Quang Ninh,#1b9e77,1266500,941700
Quang Tri,#d95f02,630600,534900
Soc Trang,#e7298a,1315900,1150100
Son La,#d95f02,1242700,811700
Tay Ninh,#d95f02,1133400,910000
Thai Binh,#1b9e77,1793200,1752300
Thai Nguyen,#7570b3,1268300,1005000
Thanh Hoa,#1b9e77,3558200,3337700
Thua Thien Hue,#e7298a,1163600,999300
Tien Giang,#e6ab02,1762300,1581500
Tra Vinh,#d95f02,1049800,934900
Tuyen Quang,#d95f02,780100,638800
Vinh Long,#7570b3,1051800,990400
Vinh Phuc,#66a61e,1092400,1048200
Yen Bai,#1b9e77,815600,647700
