Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
An Giang,AG,4,3525,1908352
Bà Rịa - Vũng Tàu,BV,0,1905,1148313
Bắc Giang,BG,1,3894,1803950
Bắc Kạn,BK,4,4863,313905
Bạc Liêu,BL,5,2479,907236
Bắc Ninh,BN,4,821,1368840
Bến Tre,BR,0,2340,1288463
Bình Định,BD,0,6063,2426561
Bình Dương,BI,2,2692,1248415
Bình Phước,BP,0,6866,994679
Bình Thuận,BU,5,7940,1230808
Cà Mau,CM,3,5168,1194476
Cần Thơ,CN,0,1440,1235171
Cao Bằng,CB,2,6697,530341
Đà Nẵng,DA,2,982,622168
Đắk Lắk,DC,2,13028,1869322
Đắk Nông,DO,5,6507,1134310
Điện Biên,DB,1,9502,598856
Đồng Nai,DN,1,5862,3097107
Đồng Tháp,DT,3,3388,1599504
Gia Lai,GL,5,15514,1513847
Hà Giang,HG,1,7920,854679
Hà Nam,HM,2,863,852800
Hà Nội,HI,0,3357,8053663
Hà Tĩnh,HT,2,5984,1288866
Hải Dương,HD,5,1670,1892254
Hải Phòng,HP,4,1396,2028514
Hậu Giang,HU,1,1622,733017
Hồ Chí Minh,HC,3,2109,8993082
Hoà Bình,HO,5,4580,854131
Hưng Yên,HY,1,926,1134310
Khánh Hòa,KH,3,4837,1231107
Kiên Giang,KG,2,6284,1723067
Kon Tum,KT,4,9653,540438
Lai Châu,LI,4,9063,460196
Lâm Đồng,LD,4,9787,1296906
Lạng Sơn,LS,3,8304,781655
Lào Cai,LO,0,6359,730420
Long An,LA,2,4489,1688547
Nam Định,ND,5,1588,1780393
Nghệ An,,3,16474,3327791
Ninh Bình,NB,3,1344,982487
Ninh Thuận,NT,1,3359,590467
Phú Thọ,PT,1,3537,1463726
Phú Yên,PY,1,5028,872964
Quảng Bình,QB,4,7976,895430
Quảng Nam,QM,1,10570,1495812
Quảng Ngãi,QG,3,5163,1231697
Quảng Ninh,QN,0,5978,1320324
Quảng Trị,QT,5,4612,632375
Sóc Trăng,ST,3,3283,1199653
Sơn La,SL,0,14114,1248415
Tây Ninh,TN,4,4040,1169165
Thái Bình,TB,3,1612,1860447
Thái Nguyên,TY,2,3522,1286751
Thanh Hóa,TH,2,11103,3640128
Thừa Thiên Huế,TT,0,5024,1128620
Tiền Giang,TG,4,2406,1764185
Trà Vinh,TV,1,2325,1009168
Tuyên Quang,TQ,0,5867,784811
Vĩnh Long,VL,5,1525,1022791
Vĩnh Phúc,VC,3,1231,1151154
Yên Bái,YB,5,6888,821030
