Region,Abbreviation,ColorGroup,Land Area (km sq.),Population (people)
Adams,ADA,6,4985.727112,19983.0
Asotin,ASO,4,1647.232438,22582.0
Benton,BEN,4,4402.979788,204390.0
Chelan,CHE,4,7562.765282,77200.0
Clallam,CLL,3,4501.399336,77331.0
Clark,CLR,6,1629.102521,488241.0
Columbia,COL,4,2250.699668,3985.0
Cowlitz,COW,2,2949.996458,110593.0
Douglas,DOU,1,4711.188373,43429.0
Ferry,FER,5,5708.333795,7627.0
Franklin,FRA,5,3216.765233,95222.0
Garfield,GAR,6,1838.891558,2225.0
Grant,GRN,3,6941.168136,97733.0
Grays Harbor,GRY,1,4926.157386,75061.0
Island,ISL,5,541.3075151,85141.0
Jefferson,JEF,2,4672.338551,32221.0
King,KIN,3,5477.824853,2252782.0
Kitsap,KIS,1,1023.045304,271473.0
Kittitas,KIT,2,5949.202689,47935.0
Klickitat,KLI,5,4848.457743,22425.0
Lewis,LEW,4,6223.741429,80707.0
Lincoln,LIN,1,5985.462523,10939.0
Mason,MAS,6,2483.798598,66768.0
Okanogan,OKA,2,13644.05737,42243.0
Pacific,PAC,3,2416.458907,22471.0
Pend Oreille,PEN,4,3625.983354,13724.0
Pierce,PIE,5,4325.280144,904980.0
San Juan,SAN,4,450.6579312,17582.0
Skagit,SKG,6,4483.269419,129205.0
Skamania,SKM,3,4289.020311,12083.0
Snohomish,SNO,2,5405.305186,822083.0
Spokane,SPO,5,4568.739027,522798.0
Stevens,STE,6,6417.990537,45723.0
Thurston,THU,3,1869.971416,290536.0
Wahkiakum,WAH,1,683.7568611,4488.0
Walla Walla,WAL,2,3289.2849,60760.0
Whatcom,WHA,1,5457.104948,229247.0
Whitman,WHI,3,5591.78433,50104.0
Yakima,YAK,6,11126.58892,250873.0
