County,Colour,Population,Population (1990) (People)
Adams,#d95f02,19983,13603
Asotin,#7570b3,22582,17605
Benton,#7570b3,204390,112560
Chelan,#7570b3,77200,52250
Clallam,#1b9e77,77331,56210
Clark,#d95f02,488241,238053
Columbia,#7570b3,3985,4024
Cowlitz,#e7298a,110593,82119
Douglas,#66a61e,43429,26205
Ferry,#e6ab02,7627,6295
Franklin,#e6ab02,95222,37473
Garfield,#d95f02,2225,2248
Grant,#1b9e77,97733,54798
Grays Harbor,#66a61e,75061,64175
Island,#e6ab02,85141,60195
Jefferson,#e7298a,32221,20406
King,#1b9e77,2252782,1507305
Kitsap,#66a61e,271473,189731
Kittitas,#e7298a,47935,26725
Klickitat,#e6ab02,22425,16616
Lewis,#7570b3,80707,59358
Lincoln,#66a61e,10939,8864
Mason,#d95f02,66768,38341
Okanogan,#e7298a,42243,33350
Pacific,#1b9e77,22471,18882
Pend Oreille,#7570b3,13724,8915
Pierce,#e6ab02,904980,586203
San Juan,#7570b3,17582,10035
Skagit,#d95f02,129205,79545
Skamania,#1b9e77,12083,8289
Snohomish,#e7298a,822083,465628
Spokane,#e6ab02,522798,361333
Stevens,#d95f02,45723,30948
Thurston,#1b9e77,290536,161238
Wahkiakum,#66a61e,4488,3327
Walla Walla,#e7298a,60760,48439
Whatcom,#66a61e,229247,127780
Whitman,#1b9e77,50104,38775
Yakima,#d95f02,250873,188823
