Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Afghanistan,AFG,3,641809,38326027
Albania,ALB,3,28556,2872130
Algeria,DZA,1,2306651,43090987
Andorra,AND,5,407,77020
Angola,AGO,0,1247049,32898997
Antigua & Barbuda,ATG,2,311,92377
Argentina,ARG,5,2778607,44908441
Armenia,ARM,2,29992,2812496
Australia,AUS,4,7684109,25544179
Austria,AUT,2,83981,8901106
Azerbaijan,AZE,3,85931,10273528
"Bahamas, The",BHS,4,8503,405779
Bahrain,BHR,0,702,1494033
Bangladesh,BGD,2,137539,166426993
Barbados,BRB,1,395,280427
Belarus,BLR,2,207560,9661044
Belgium,BEL,1,30944,11541273
Belize,BLZ,3,21695,392426
Benin,BEN,3,115154,12466819
Bhutan,BTN,1,38831,770004
Bolivia,BOL,1,1083901,11862346
Bosnia & Herzegovina,BIH,2,51331,3340974
Botswana,BWA,3,578154,2523541
Brazil,BRA,2,8472908,212564935
Brunei,BRN,3,5873,439893
Bulgaria,BGR,1,110900,7020235
Burkina Faso,BFA,2,272948,21231893
Burma,MMR,3,666632,53227971
Burundi,BDI,1,26715,12053897
Cabo Verde,CPV,0,3484,579933
Cambodia,KHM,1,181068,16296280
Cameroon,CMR,1,464979,26137129
Canada,CAN,4,9985383,37758232
Central African Rep,CAF,0,620178,5272026
Chad,TCD,2,1269577,16379185
Chile,CHL,3,748714,19206688
China,CHN,0,9346854,1423998019
Colombia,COL,4,1136550,50617028
Comoros,COM,0,1278,798326
"Congo, Dem Rep of the",COD,4,2327537,91331950
"Congo, Rep of the",COG,3,344036,5635288
Costa Rica,CRI,0,51118,5105359
Cote d'Ivoire,CIV,4,322397,26477574
Croatia,HRV,1,54520,4114639
Cuba,CUB,0,109379,11309236
Cyprus,CYP,3,8993,1233778
Czechia,CZE,1,78581,10537911
Denmark,DNK,3,42754,5810778
Djibouti,DJI,0,21851,1082344
Dominica,DMA,4,721,71764
Dominican Republic,DOM,1,47724,10939347
Ecuador,ECU,3,254415,17487163
Egypt,EGY,4,983873,106538719
El Salvador,SLV,4,20875,6280922
Equatorial Guinea,GNQ,2,26853,1578373
Eritrea,ERI,4,120420,3523653
Estonia,EST,4,44937,1329086
Ethiopia,ETH,1,1128812,115638360
Fiji,FJI,5,16696,918091
Finland,FIN,5,334309,5525215
France,FRA,3,663609,64457760
Gabon,GAB,5,263652,2267995
"Gambia, The",GMB,5,10986,2541049
Georgia,GEO,0,69535,3769183
Germany,DEU,5,357143,83267655
Ghana,GHA,1,238916,31849246
Greece,GRC,5,126301,10543346
Greenland,GRL,1,2168894,55934
Grenada,GRD,2,270,123159
Guatemala,GTM,5,108200,17231172
Guinea,GIN,3,244686,13041586
Guinea-Bissau,GNB,2,33282,1993303
Guyana,GUY,5,210753,791842
Haiti,HTI,3,26967,11234508
Honduras,HND,1,112094,10041790
Hungary,HUN,3,93001,9770120
Iceland,ISL,4,104332,364340
India,IND,4,3149750,1389966387
Indonesia,IDN,0,1872207,270825848
Iran,IRN,5,1621845,86990162
Iraq,IRQ,0,437108,42042951
Ireland,IRL,5,70270,4925074
Israel,ISR,5,20762,8685594
Italy,ITA,4,300808,59639898
Jamaica,JAM,5,10876,2814473
Japan,JPN,4,371297,125542770
Jordan,JOR,3,89138,10817077
Kazakhstan,KAZ,2,2725816,18861057
Kenya,KEN,2,585723,51460211
Kiribati,KIR,0,424,125256
"Korea, North",PRK,2,121819,25813233
"Korea, South",KOR,5,97731,51858128
Kosovo,XKX,4,10654,1675138
Kuwait,KWT,4,17068,4468361
Kyrgyzstan,KGZ,5,198914,6372330
Laos,LAO,5,229672,7265653
Latvia,LVA,3,64145,1907244
Lebanon,LBN,2,10135,5694522
Lesotho,LSO,1,30512,2239604
Liberia,LBR,5,95623,5034191
Libya,LBY,0,1616864,6612028
Liechtenstein,LIE,1,112,38629
Lithuania,LTU,0,64890,2835900
Luxembourg,LUX,2,2535,626079
Macedonia,MKD,2,25367,2114024
Madagascar,MDG,1,591617,27879131
Malawi,MWI,3,118502,19120882
Malaysia,MYS,5,329074,33003638
Maldives,MDV,2,4,510890
