Country,Colour,Population,GDP
Afghanistan,#7570b3,34124811,20682000000
Aland,#d95f02,27153,NA
Albania,#1b9e77,3047987,17210000000
Algeria,#1b9e77,40969443,1.93056E+11
American Samoa,#e6ab02,51504,NA
Andorra,#1b9e77,85702,2858406626
Angola,#d95f02,29310273,96426000000
Anguilla,#e6ab02,17087,337520470
Antarctica,#66a61e,4050,NA
Antigua and Barb.,#e7298a,94731,NA
Argentina,#e7298a,44293293,5.15353E+11
Armenia,#7570b3,3045191,13868000000
Aruba,#e7298a,115120,2952000000
Australia,#e6ab02,23232413,1.48146E+12
Austria,#66a61e,8754413,4.81678E+11
Azerbaijan,#1b9e77,9961396,47429000000
Bahamas,#e7298a,329988,13710000000
Bahrain,#e6ab02,1410942,40707000000
Bangladesh,#66a61e,157826578,3.43279E+11
Barbados,#d95f02,292336,5339000000
Belarus,#1b9e77,9549747,63664000000
Belgium,#66a61e,11491346,5.53781E+11
Belize,#7570b3,360346,2071000000
Benin,#1b9e77,11038805,12129000000
Bermuda,#66a61e,70864,6127341000
Bhutan,#e7298a,758288,2939000000
Bolivia,#e6ab02,11138234,47052000000
Bosnia and Herz.,#66a61e,3856181,NA
Botswana,#e6ab02,2214858,20873000000
Br. Indian Ocean Ter.,#7570b3,4000,NA
Brazil,#7570b3,207353391,2.0625E+12
British Virgin Is.,#e7298a,35015,971237110
Brunei,#66a61e,443593,14281000000
Bulgaria,#e6ab02,7101510,71746000000
Burkina Faso,#e6ab02,20107509,16266000000
Burundi,#e7298a,11466756,3714000000
Cabo Verde,#66a61e,560899,2208000000
Cambodia,#66a61e,16204486,29309000000
Cameroon,#7570b3,24994885,42047000000
Canada,#7570b3,35623680,1.83249E+12
Cayman Is.,#1b9e77,58441,3844080626
Central African Rep.,#66a61e,5625118,2485000000
Chad,#1b9e77,12075985,12547000000
Chile,#d95f02,17789267,3.13561E+11
China,#1b9e77,1379302771,1.54681E+13
Colombia,#d95f02,47698524,3.5281E+11
Comoros,#d95f02,808080,773000000
Congo,#e7298a,4954674,11367000000
Cook Is.,#1b9e77,9290,290194195
Costa Rica,#e7298a,4930258,63460000000
Cote d'Ivoire,#d95f02,24184810,49882000000
Croatia,#1b9e77,4292095,64590000000
Cuba,#d95f02,11154407,89688700000
Curacao,#66a61e,149648,3121449966
Cyprus,#e7298a,1247249,26348000000
Czechia,#7570b3,10674723,2.59736E+11
Dem. Rep. Congo,#e6ab02,83301151,52475000000
Denmark,#d95f02,5605948,3.64546E+11
Djibouti,#e6ab02,865267,2599000000
Dominica,#66a61e,73897,590000000
Dominican Rep.,#7570b3,10734247,90459000000
Ecuador,#e7298a,16290913,1.0773E+11
Egypt,#e7298a,97041072,3.3136E+11
El Salvador,#d95f02,6172011,28202000000
Eq. Guinea,#d95f02,778358,12263000000
Eritrea,#7570b3,5918919,8116000000
Estonia,#66a61e,1251581,33235000000
eSwatini,#7570b3,1467152,NA
Ethiopia,#1b9e77,105350020,99371000000
Faeroe Is.,#e7298a,50730,NA
Falkland Is.,#e6ab02,2931,NA
Fiji,#e6ab02,920938,5671000000
Finland,#e6ab02,5491218,2.89243E+11
Fr. Polynesia,#e6ab02,287881,5417934152
Fr. S. Antarctic Lands,#e7298a,140,NA
France,#d95f02,67106161,2.87605E+12
Gabon,#1b9e77,1772255,17893000000
Gambia,#e6ab02,2051363,1870000000
Georgia,#e7298a,4926330,18888000000
Germany,#e7298a,80594017,4.15712E+12
Ghana,#e7298a,27499924,72264000000
Gibraltar,#e7298a,29396,NA
Greece,#d95f02,10768477,2.305E+11
Greenland,#66a61e,57713,2282927882
Grenada,#e7298a,111724,1330000000
Guam,#1b9e77,167358,NA
Guatemala,#e7298a,15460732,87629000000
Guernsey,#1b9e77,66502,NA
Guinea,#66a61e,12413867,13603000000
Guinea-Bissau,#e7298a,1792338,1669000000
Guyana,#1b9e77,737718,4609000000
Haiti,#e6ab02,10646714,9648000000
Heard I. and McDonald Is.,#d95f02,0,NA
Honduras,#66a61e,9038741,25560000000
Hong Kong,#7570b3,7191503,4.02034E+11
Hungary,#e7298a,9850845,1.77734E+11
Iceland,#d95f02,339747,26821000000
India,#d95f02,1281935911,3.25772E+12
Indonesia,#66a61e,260580739,1.20886E+12
Iran,#d95f02,82021564,4.95694E+11
Iraq,#e7298a,39192111,2.46932E+11
Ireland,#e6ab02,5011102,4.05185E+11
Isle of Man,#1b9e77,88815,NA
Israel,#1b9e77,8299706,4.03961E+11
Italy,#e6ab02,62137802,2.09045E+12
Jamaica,#e7298a,2990561,16717000000
Japan,#66a61e,126451398,5.49542E+12
Jersey,#1b9e77,98840,NA
Jordan,#7570b3,10248069,46451000000
Kazakhstan,#e7298a,18626698,1.77322E+11
Kenya,#e7298a,47615739,1.09116E+11
Kiribati,#d95f02,108145,196000000
Kosovo,#e7298a,1895250,NA
Kuwait,#66a61e,2875422,1.42999E+11
Kyrgyzstan,#e6ab02,5789122,8781000000
Laos,#7570b3,7126706,22013000000
Latvia,#7570b3,1944643,38102000000
Lebanon,#e7298a,6229794,60620000000
Lesotho,#e7298a,1958042,2892000000
Liberia,#e6ab02,4689021,3217000000
Libya,#66a61e,6653210,50424000000
Liechtenstein,#7570b3,38244,6193677543
Lithuania,#e7298a,2823859,57602000000
Luxembourg,#e6ab02,594130,73693000000
Macao,#e6ab02,601969,62158000000
Macedonia,#66a61e,2103721,13700000000
Madagascar,#7570b3,25054161,13542000000
Malawi,#d95f02,19196246,7861000000
Malaysia,#e6ab02,31381992,4.01985E+11
Maldives,#d95f02,392709,6213000000
Mali,#e7298a,17885245,19332000000
Malta,#d95f02,416338,16338000000
Marshall Is.,#7570b3,74539,228000000
Mauritania,#7570b3,3758571,5697000000
Mauritius,#d95f02,1356388,15757000000
Mexico,#e6ab02,124574795,1.29775E+12
Micronesia,#d95f02,104196,389000000
Moldova,#e7298a,3474121,12793000000
Monaco,#66a61e,30645,6468000877
Mongolia,#e6ab02,3068243,14960000000
Montenegro,#7570b3,642550,5740000000
Montserrat,#e6ab02,5292,62051375
Morocco,#66a61e,33986655,1.29056E+11
Mozambique,#e6ab02,26573706,16294000000
Myanmar,#e6ab02,55123814,71403000000
N. Cyprus,#d95f02,265100,NA
N. Mariana Is.,#66a61e,52263,NA
Namibia,#e7298a,2484780,14627000000
Nauru,#d95f02,9642,117000000
Nepal,#7570b3,29384297,33035000000
Netherlands,#7570b3,17084719,9.54931E+11
New Caledonia,#66a61e,279070,9445714851
New Zealand,#e7298a,4510327,2.24943E+11
Nicaragua,#e6ab02,6025951,12459000000
Niger,#d95f02,19245344,10628000000
Nigeria,#e7298a,190632261,4.96122E+11
Niue,#7570b3,1626,NA
Norfolk Island,#7570b3,2210,NA
North Korea,#e7298a,25248140,16788601831
Norway,#e7298a,5320045,4.38623E+11
Oman,#e6ab02,3424386,84158000000
Pakistan,#e6ab02,204924861,2.82506E+11
Palau,#66a61e,21431,324000000
Palestine,#d95f02,4543126,13397100000
Panama,#1b9e77,3753142,75494000000
Papua New Guinea,#1b9e77,6909701,22114000000
Paraguay,#66a61e,6943739,45376000000
Peru,#1b9e77,31036656,2.44163E+11
Philippines,#e7298a,104256076,3.89048E+11
Pitcairn Is.,#e7298a,54,NA
Poland,#d95f02,38476269,6.43274E+11
Portugal,#d95f02,10839514,2.49912E+11
Puerto Rico,#d95f02,3351827,1.04117E+11
Qatar,#e7298a,2314307,2.04008E+11
Romania,#7570b3,21529967,2.63133E+11
Russia,#d95f02,142257519,1.66746E+12
Rwanda,#66a61e,11901484,11062000000
S. Geo. and the Is.,#e6ab02,30,NA
S. Sudan,#d95f02,13026129,2796000000
Saint Helena,#d95f02,7828,NA
Saint Lucia,#1b9e77,164994,2069000000
Samoa,#d95f02,200108,960000000
San Marino,#7570b3,33537,1672000000
Sao Tome and Principe,#e6ab02,201025,527000000
Saudi Arabia,#1b9e77,28571770,7.90062E+11
Senegal,#d95f02,14668522,28062000000
Serbia,#d95f02,7111024,56886000000
Seychelles,#e7298a,93920,1739000000
Siachen Glacier,#aaaaaa,6000,NA
Sierra Leone,#1b9e77,6163195,4221000000
Singapore,#e7298a,5888926,3.91875E+11
Sint Maarten,#66a61e,42083,1072067039
Slovakia,#e6ab02,5445829,1.17399E+11
Slovenia,#d95f02,1972126,58213000000
Solomon Is.,#d95f02,647581,1607000000
Somalia,#d95f02,7531386,8341000000
Somaliland,#66a61e,3500000,NA
South Africa,#66a61e,54841552,3.86727E+11
South Korea,#7570b3,51181299,1.74436E+12
Spain,#e6ab02,48958159,1.49708E+12
Sri Lanka,#1b9e77,22409381,89942000000
St-Barthelemy,#7570b3,7184,NA
St-Martin,#e7298a,32125,NA
St. Kitts and Nevis,#d95f02,52715,1118000000
St. Pierre and Miquelon,#7570b3,5533,NA
St. Vin. and Gren.,#7570b3,102089,903000000
Sudan,#e6ab02,37345935,82887395895
Suriname,#e7298a,591919,3919000000
Sweden,#1b9e77,9960487,5.7672E+11
Switzerland,#1b9e77,8236303,7.40702E+11
Syria,#e6ab02,18028549,22163075121
Taiwan,#d95f02,23508428,6.33695E+11
Tajikistan,#66a61e,8468555,7838000000
Tanzania,#1b9e77,53950935,64888000000
Thailand,#e7298a,68414135,5.47431E+11
Timor-Leste,#e7298a,1291358,3413000000
Togo,#7570b3,7965055,6132000000
Tonga,#66a61e,106479,512000000
Trinidad and Tobago,#d95f02,1218208,23235000000
Tunisia,#7570b3,11403800,35150000000
Turkey,#66a61e,80845215,8.09555E+11
Turkmenistan,#66a61e,5351277,57059000000
Turks and Caicos Is.,#e7298a,52570,917550492
Tuvalu,#e7298a,11052,NA
U.S. Minor Outlying Is.,#66a61e,300,NA
U.S. Virgin Is.,#7570b3,107268,NA
Uganda,#7570b3,39570125,33620000000
Ukraine,#66a61e,44033874,1.4717E+11
United Arab Emirates,#7570b3,6072475,4.4913E+11
United Kingdom,#1b9e77,64769452,2.92708E+12
United States of America,#1b9e77,326625791,2.21981E+13
Uruguay,#1b9e77,3360148,63421000000
Uzbekistan,#d95f02,29748859,55482000000
Vanuatu,#e7298a,282814,994000000
Vatican,#66a61e,1000,NA
