Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Afghanistan,AFG,1,641809,38326027
Angola,AGO,1,1247049,32898997
Albania,ALB,3,28556,2872130
Andorra,AND,4,407,77020
United Arab Emirates,ARE,1,70146,9247550
Argentina,ARG,4,2778607,44908441
Armenia,ARM,1,29992,2812496
Antigua and Barbuda,ATG,2,311,92377
Australia,AUS,3,7684109,25544179
Austria,AUT,3,83981,8901106
Azerbaijan,AZE,5,85931,10273528
Burundi,BDI,5,26715,12053897
Belgium,BEL,1,30944,11541273
Benin,BEN,2,115154,12466819
Burkina Faso,BFA,4,272948,21231893
Bangladesh,BGD,0,137539,166426993
Bulgaria,BGR,4,110900,7020235
Bahrain,BHR,5,702,1494033
Bahamas,BHS,4,8503,405779
Bosnia and Herzegovina,BIH,3,51331,3340974
Belarus,BLR,4,207560,9661044
Belize,BLZ,0,21695,392426
Bolivia (Plurinational State of),BOL,3,1083901,11862346
Brazil,BRA,1,8472908,212564935
Barbados,BRB,5,395,280427
Brunei Darussalam,BRN,3,5873,439893
Bhutan,BTN,1,38831,770004
Botswana,BWA,4,578154,2523541
Central African Republic,CAF,5,620178,5272026
Canada,CAN,2,9985383,37758232
Switzerland,CHE,2,41293,8606431
Chile,CHL,1,748714,19206688
China,CHN,0,9346854,1423998019
Côte d'Ivoire,CIV,0,322397,26477574
Cameroon,CMR,1,464979,26137129
Democratic Republic of the Congo,COD,2,2327537,91331950
Congo,COG,3,344036,5635288
Colombia,COL,0,1136550,50617028
Comoros,COM,0,1278,798326
Cabo Verde,CPV,2,3484,579933
Costa Rica,CRI,0,51118,5105359
Cuba,CUB,3,109379,11309236
Cyprus,CYP,4,8993,1233778
Czechia,CZE,4,78581,10537911
Germany,DEU,5,357143,83267655
Djibouti,DJI,0,21851,1082344
Dominica,DMA,4,721,71764
Denmark,DNK,4,42754,5810778
Dominican Republic,DOM,0,47724,10939347
Algeria,DZA,2,2306651,43090987
Ecuador,ECU,1,254415,17487163
Egypt,EGY,3,983873,106538719
Eritrea,ERI,1,120420,3523653
Western Sahara,ESH,5,269158,551245
Spain,ESP,2,505512,47329954
Estonia,EST,4,44937,1329086
Ethiopia,ETH,5,1128812,115638360
Finland,FIN,3,334309,5525215
Fiji,FJI,5,16696,918091
France,FRA,3,663609,64457760
Micronesia (Fed. States of),FSM,2,305,111589
Gabon,GAB,0,263652,2267995
United Kingdom,GBR,3,250279,66951174
Georgia,GEO,2,69535,3769183
Ghana,GHA,2,238916,31849246
Guinea,GIN,4,244686,13041586
Gambia,GMB,2,10986,2541049
Guinea-Bissau,GNB,2,33282,1993303
Equatorial Guinea,GNQ,5,26853,1578373
Greece,GRC,1,126301,10543346
Grenada,GRD,1,270,123159
Greenland,GRL,0,2168894,55934
Guatemala,GTM,3,108200,17231172
Guyana,GUY,3,210753,791842
Honduras,HND,2,112094,10041790
Croatia,HRV,0,54520,4114639
Haiti,HTI,1,26967,11234508
Hungary,HUN,2,93001,9770120
Indonesia,IDN,3,1872207,270825848
India,IND,4,3149750,1389966387
Ireland,IRL,5,70270,4925074
Iran (Islamic Republic of),IRN,2,1621845,86990162
Iraq,IRQ,3,437108,42042951
Iceland,ISL,3,104332,364340
Israel,ISR,5,20762,8685594
Italy,ITA,4,300808,59639898
Jamaica,JAM,1,10876,2814473
Jordan,JOR,0,89138,10817077
Japan,JPN,2,371297,125542770
Kazakhstan,KAZ,2,2725816,18861057
Kenya,KEN,2,585723,51460211
Kyrgyzstan,KGZ,3,198914,6372330
Cambodia,KHM,0,181068,16296280
Kiribati,KIR,4,424,125256
Saint Kitts and Nevis,KNA,5,92,47681
Republic of Korea,KOR,2,97731,51858128
Kuwait,KWT,4,17068,4468361
Lao People's Democratic Republic,LAO,1,229672,7265653
Lebanon,LBN,1,10135,5694522
Liberia,LBR,3,95623,5034191
Libya,LBY,5,1616864,6612028
Saint Lucia,LCA,0,589,178922
Liechtenstein,LIE,0,112,38629
Sri Lanka,LKA,4,65494,21683162
Lesotho,LSO,4,30512,2239604
Lithuania,LTU,5,64890,2835900
Luxembourg,LUX,2,2535,626079
Latvia,LVA,0,64145,1907244
Morocco,MAR,1,413861,36488843
Monaco,MCO,5,2,37033
Republic of Moldova,MDA,5,33744,3095024
Madagascar,MDG,3,591617,27879131
Maldives,MDV,4,4,510890
Mexico,MEX,5,1954704,125610461
Marshall Islands,MHL,0,8,44081
North Macedonia,MKD,5,25367,2114024
Mali,MLI,3,1254929,20886781
Malta,MLT,5,204,509595
Myanmar,MMR,5,666632,53227971
Montenegro,MNE,2,14188,629890
Mongolia,MNG,3,1564947,3266463
Mozambique,MOZ,2,787263,30720752
Mauritania,MRT,0,1037845,4440933
Mauritius,MUS,1,1759,1296960
Malawi,MWI,4,118502,19120882
Malaysia,MYS,2,329074,33003638
Namibia,NAM,3,823760,2467077
Niger,NER,1,1181109,23881690
Nigeria,NGA,3,909545,205780595
Nicaragua,NIC,1,128713,6709705
Netherlands,NLD,2,35616,17402277
Norway,NOR,2,386333,5367955
Nepal,NPL,5,147033,28999227
Nauru,NRU,2,9,12216
New Zealand,NZL,1,269539,5026496
Oman,OMN,5,308635,4589136
Pakistan,PAK,3,873401,225112860
Panama,PAN,5,74524,4265541
Peru,PER,2,1292361,33090281
Philippines,PHL,4,287087,111287623
Palau,PLW,3,328,17947
Papua New Guinea,PNG,0,458016,9648818
Poland,POL,2,312213,38477966
Dem. People's Republic of Korea,PRK,4,121819,25813233
Portugal,PRT,5,91090,10298399
Paraguay,PRY,5,399577,6573039
Qatar,QAT,3,11918,2828630
Romania,ROU,0,237996,19489730
Russian Federation,RUS,1,16926343,145761663
Rwanda,RWA,4,25184,12987331
Saudi Arabia,SAU,2,1923956,36229972
Sudan,SDN,4,1846403,43828068
Senegal,SEN,5,196547,16215467
Singapore,SGP,0,524,5893519
Solomon Islands,SLB,3,24878,682897
Sierra Leone,SLE,0,72725,8140209
El Salvador,SLV,4,20875,6280922
San Marino,SMR,0,40,34192
Somalia,SOM,4,633504,16272861
Serbia,SRB,1,77305,7384063
South Sudan,SSD,0,642631,10545441
Sao Tome and Principe,STP,2,788,216222
Suriname,SUR,4,146226,603805
Slovakia,SVK,1,48954,5457552
Slovenia,SVN,5,20320,2116252
Sweden,SWE,4,447935,10321414
Eswatini,SWZ,4,17465,1174222
Seychelles,SYC,5,69,105006
Syrian Arab Republic,SYR,4,187697,20486043
Chad,TCD,0,1269577,16379185
Togo,TGO,1,56800,8342236
Thailand,THA,3,512960,71389374
Tajikistan,TJK,5,140853,9442817
Turkmenistan,TKM,0,489065,6204366
Timor-Leste,TLS,1,14651,1289754
Tonga,TON,0,192,104873
