Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Afghanistan,AFG,1,641843,34124811.0
Albania,ALB,4,28373,3047987.0
Algeria,DZA,3,2319300,40969443.0
American Samoa,ASM,5,120,51504.0
Andorra,AND,1,443,85702.0
Angola,AGO,4,1244670,29310273.0
Anguilla,AIA,0,83,17087.0
Antarctica,ATA,1,12356515,4050.0
Antigua and Barb.,ATG,2,431,94731.0
Argentina,ARG,1,2782454,44293293.0
Armenia,ARM,3,29591,3045191.0
Aruba,ABW,3,155,115120.0
Ashmore and Cartier Is.,---,4,3,0.0
Australia,AUS,5,7691237,23232413.0
Austria,AUT,0,84148,8754413.0
Azerbaijan,AZE,0,86501,9961396.0
Bahamas,BHS,0,12640,329988.0
Bahrain,BHR,1,540,1410942.0
Bangladesh,BGD,0,135340,157826578.0
Barbados,BRB,2,388,292336.0
Belarus,BLR,2,207561,9549747.0
Belgium,BEL,4,30739,11491346.0
Belize,BLZ,3,22705,360346.0
Benin,BEN,4,116105,11038805.0
Bermuda,BMU,3,66,70864.0
Bhutan,BTN,1,39811,758288.0
Bolivia,BOL,0,1086623,11138234.0
Bosnia and Herz.,BIH,3,51790,3856181.0
Botswana,BWA,0,579137,2214858.0
Br. Indian Ocean Ter.,IOT,4,132,4000.0
Brazil,BRA,4,8467098,207353391.0
British Virgin Is.,VGB,5,135,35015.0
Brunei,BRN,4,5647,443593.0
Bulgaria,BGR,5,112610,7101510.0
Burkina Faso,BFA,5,272627,20107509.0
Burundi,BDI,2,27087,11466756.0
Cabo Verde,CPV,0,3573,560899.0
Cambodia,KHM,3,180670,16204486.0
Cameroon,CMR,0,463871,24994885.0
Canada,CAN,0,9923083,35623680.0
Cayman Is.,CYM,1,300,58441.0
Central African Rep.,CAF,1,618323,5625118.0
Chad,TCD,5,1266547,12075985.0
Chile,CHL,4,737678,17789267.0
China,CHN,0,9373024,1379302771.0
Colombia,COL,3,1134457,47698524.0
Comoros,COM,2,1580,808080.0
Congo,COG,2,345334,4954674.0
Cook Is.,COK,3,60,9290.0
Costa Rica,CRI,3,51303,4930258.0
Croatia,HRV,0,54544,4292095.0
Cuba,CUB,4,109005,11147407.0
Curaçao,CUW,5,428,149648.0
Cyprus,CYP,2,5708,1221549.0
Czechia,CZE,2,78744,10674723.0
Côte d'Ivoire,CIV,0,320935,24184810.0
Dem. Rep. Congo,COD,5,2324447,83301151.0
Denmark,DNK,3,42618,5605948.0
Djibouti,DJI,2,21619,865267.0
Dominica,DMA,0,695,73897.0
Dominican Rep.,DOM,4,48440,10734247.0
Ecuador,ECU,4,254528,16290913.0
Egypt,EGY,5,1001772,97041072.0
El Salvador,SLV,1,20316,6172011.0
Eq. Guinea,GNQ,1,26525,778358.0
Eritrea,ERI,4,123243,5918919.0
Estonia,EST,2,45694,1251581.0
Ethiopia,ETH,1,1127095,105350020.0
Faeroe Is.,FRO,1,1042,50730.0
Falkland Is.,FLK,2,11430,2931.0
Fiji,FJI,3,18346,920938.0
Finland,FIN,3,332613,5491218.0
Fr. Polynesia,PYF,4,2605,287881.0
Fr. S. Antarctic Lands,ATF,5,6994,140.0
France,FRA,0,636062,67106161.0
Gabon,GAB,3,259499,1772255.0
Gambia,GMB,1,10275,2051363.0
Georgia,GEO,2,69414,4926330.0
Germany,DEU,1,357457,80594017.0
Ghana,GHA,2,238559,27499924.0
Greece,GRC,0,130276,10768477.0
Greenland,GRL,0,2171413,57713.0
Grenada,GRD,1,285,111724.0
Guam,GUM,2,480,167358.0
Guatemala,GTM,0,108102,15460732.0
Guernsey,GGY,3,48,66502.0
Guinea,GIN,3,243939,12413867.0
Guinea-Bissau,GNB,5,31931,1792338.0
Guyana,GUY,0,211022,737718.0
Haiti,HTI,5,26723,10646714.0
Heard I. and McDonald Is.,HMD,4,420,0.0
Honduras,HND,5,113106,9038741.0
Hong Kong,HKG,5,1026,7191503.0
Hungary,HUN,5,93213,9850845.0
Iceland,ISL,5,101825,339747.0
India,IND,4,3148263,1281935911.0
Indian Ocean Ter.,UMI,0,143,2801.0
Indonesia,IDN,0,1863909,260580739.0
Iran,IRN,2,1621842,82021564.0
Iraq,IRQ,4,437238,39192111.0
Ireland,IRL,0,68983,5011102.0
Isle of Man,IMN,1,560,88815.0
Israel,ISR,4,22265,8299706.0
Italy,ITA,1,300794,62137802.0
Jamaica,JAM,2,10897,2990561.0
Japan,JPN,3,370276,126451398.0
Jersey,JEY,4,127,98840.0
Jordan,JOR,2,88781,10248069.0
Kazakhstan,KAZ,2,2720703,18556698.0
Kenya,KEN,5,592189,47615739.0
Kiribati,KIR,5,933,108145.0
Kosovo,XKX,2,10930,1895250.0
Kuwait,KWT,5,17308,2875422.0
Kyrgyzstan,KGZ,3,198927,5789122.0
Laos,LAO,1,228232,7126706.0
Latvia,LVA,4,64577,1944643.0
Lebanon,LBN,3,10008,6229794.0
Lesotho,LSO,2,29991,1958042.0
Liberia,LBR,5,95256,4689021.0
Libya,LBY,1,1623739,6653210.0
Liechtenstein,LIE,3,138,38244.0
Lithuania,LTU,3,64815,2823859.0
Luxembourg,LUX,5,2621,594130.0
Macao,MAC,1,23,601969.0
Macedonia,MKD,1,25400,2103721.0
Madagascar,MDG,0,592826,25054161.0
Malawi,MWI,1,119344,19196246.0
Malaysia,MYS,3,326201,31381992.0
Maldives,MDV,1,66,392709.0
Mali,MLI,4,1254111,17885245.0
Malta,MLT,2,274,416338.0
Marshall Is.,MHL,3,236,74539.0
Mauritania,MRT,2,1035382,3758571.0
Mauritius,MUS,4,1874,1356388.0
Mexico,MEX,2,1957879,124574795.0
Micronesia,FSM,5,522,104196.0
Moldova,MDA,1,33208,3474121.0
Monaco,MCO,4,12,30645.0
Mongolia,MNG,4,1564521,3068243.0
Montenegro,MNE,5,13690,642550.0
Montserrat,MSR,0,80,5292.0
Morocco,MAR,4,581713,33986655.0
Mozambique,MOZ,5,788095,26573706.0
Myanmar,MMR,5,660976,55123814.0
N. Cyprus,XNC,3,3472,265100.0
N. Mariana Is.,MNP,1,392,52263.0
Namibia,NAM,5,822524,2484780.0
Nauru,NRU,2,28,9642.0
Nepal,NPL,2,146976,29384297.0
Netherlands,NLD,5,37276,17084719.0
New Caledonia,NCL,3,18617,279070.0
New Zealand,NZL,4,267242,4510327.0
Nicaragua,NIC,4,128751,6025951.0
Niger,NER,2,1181186,19245344.0
Nigeria,NGA,3,907833,190632261.0
Niue,NIU,5,196,1626.0
Norfolk Island,NFK,0,41,2210.0
North Korea,PRK,5,122627,25248140.0
Norway,NOR,5,386812,5320045.0
Oman,OMN,1,311196,3424386.0
Pakistan,PAK,3,872776,204924861.0
Palau,PLW,1,339,21431.0
Palestine,PSE,1,6329,4543126.0
Panama,PAN,2,73935,3753142.0
Papua New Guinea,PNG,5,462301,6909701.0
Paraguay,PRY,2,399948,6943739.0
Peru,PER,5,1291018,31036656.0
Philippines,PHL,2,289182,104256076.0
Pitcairn Is.,PCN,3,39,54.0
Poland,POL,4,313755,38476269.0
Portugal,PRT,3,90845,10839514.0
Puerto Rico,PRI,4,8915,3351827.0
Qatar,QAT,0,11052,2314307.0
Romania,ROU,3,236343,21529967.0
Russia,RUS,1,16973513,142257519.0
Rwanda,RWA,1,25273,11901484.0
S. Geo. and the Is.,SGS,5,3684,30.0
S. Sudan,SSD,2,621318,13026129.0
Saint Helena,SHN,0,185,7828.0
Saint Lucia,LCA,1,549,164994.0
Samoa,WSM,2,2692,200108.0
San Marino,SMR,5,68,33537.0
Saudi Arabia,SAU,3,1921560,28571770.0
Senegal,SEN,0,196608,14668522.0
Serbia,SRB,4,77648,7111024.0
Seychelles,SYC,4,174,93920.0
Siachen Glacier,---,5,2118,
Sierra Leone,SLE,2,71576,6163195.0
Singapore,SGP,5,483,5888926.0
Sint Maarten,SXM,2,42,42083.0
Slovakia,SVK,1,48489,5445829.0
Slovenia,SVN,3,20245,1972126.0
Solomon Is.,SLB,0,25634,647581.0
Somalia,SOM,0,471552,7531386.0
Somaliland,---,3,167803,3500000.0
South Africa,ZAF,3,1220031,54841552.0
South Korea,KOR,2,97172,51181299.0
Spain,ESP,5,506733,48958159.0
Sri Lanka,LKA,1,65763,22409381.0
St-Barthélemy,BLM,2,24,7184.0
St-Martin,MAF,3,49,32125.0
St. Kitts and Nevis,KNA,3,232,52715.0
St. Pierre and Miquelon,SPM,4,206,5533.0
St. Vin. and Gren.,VCT,5,310,102089.0
Sudan,SDN,0,1856671,37345935.0
Suriname,SUR,1,144934,591919.0
Sweden,SWE,0,445654,9960487.0
Switzerland,CHE,2,41316,8236303.0
Syria,SYR,0,185729,18028549.0
São Tomé and Principe,STP,3,981,201025.0
Taiwan,TWN,0,35909,23508428.0
Tajikistan,TJK,5,142396,8468555.0
Tanzania,TZA,0,941734,53950935.0
Thailand,THA,0,513909,68414135.0
Timor-Leste,TLS,1,14958,1291358.0
Togo,TGO,1,56901,7965055.0
Tonga,TON,1,430,106479.0
Trinidad and Tobago,TTO,2,5082,1218208.0
Tunisia,TUN,4,156617,11403800.0
Turkey,TUR,1,780463,80845215.0
Turkmenistan,TKM,0,471028,5351277.0
Turks and Caicos Is.,TCA,3,329,52570.0
U.S. Virgin Is.,VIR,4,315,107268.0
Uganda,UGA,4,241474,39570125.0
Ukraine,UKR,0,571976,44033874.0
United Arab Emirates,ARE,2,71113,6072475.0
United Kingdom,GBR,1,240642,64769452.0
United States of America,USA,4,9455760,326625791.0
Uruguay,URY,3,177464,3360148.0
Uzbekistan,UZB,4,448023,29748859.0
Vanuatu,VUT,5,11254,282814.0
Vatican,VAT,0,1,1000.0
Venezuela,VEN,2,910439,31304016.0
Vietnam,VNM,2,327849,96160163.0
W. Sahara,ESH,1,90593,603253.0
Wallis and Futuna Is.,WLF,0,131,15714.0
Yemen,YEM,4,452565,28036829.0
Zambia,ZMB,3,752773,15972000.0
Zimbabwe,ZWE,4,388994,13805084.0
eSwatini,SWZ,0,16962,1391385.0
Åland,ALA,4,764,27153.0
