Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
'Amran,AM,6,7900.0,1052000.0
Abyan,AB,4,16450.0,568000.0
Ad Dali,DL,2,4000.0,720000.0
Aden,AD,6,760.0,925000.0
Al Bayda',BA,6,9270.0,760000.0
Al Hudaydah,HU,4,13250.0,3189000.0
Al Jawf,JA,2,39500.0,589000.0
Al Mahrah,MR,5,67310.0,150000.0
Al Mahwit,MW,2,2330.0,695000.0
Amanat Al Asimah,AN,4,380.0,2948472.0
Dhamar,DH,5,7590.0,1913000.0
Hadramawt,HD,6,163680.0,1424036.0
Hajjah,HJ,1,8300.0,2129000.0
Ibb,IB,1,5350.0,2837000.0
Lahij,LA,3,12650.0,983000.0
Ma'rib,MA,4,17450.0,336859.0
Raymah,RA,1,2442.0,566000.0
Sa'dah,SD,5,12370.0,1078000.0
Sana'a,SN,3,13850.0,1435528.0
Shabwah,SH,3,39000.0,632000.0
Socotra,SU,2,3600.0,64964.0
Ta'izz,TA,5,10010.0,3182000.0
