Governorate,Colour,Population,Population (1994) (People)
Aden,#d95f02,925000,404257
Abyan,#7570b3,568000,342628
Al Bayda',#d95f02,760000,454608
Ad Dali,#e7298a,720000,330062
Al Hudaydah,#7570b3,3189000,1558513
Al Jawf,#e7298a,589000,347639
Al Mahrah,#e6ab02,150000,56425
Al Mahwit,#e7298a,695000,371595
Amanat Al Asimah,#7570b3,2948472,1003627
'Amran,#d95f02,1052000,731873
Dhamar,#e6ab02,1913000,981674
Hadramawt,#d95f02,1424036,755631
Hajjah,#66a61e,2129000,1091788
Ibb,#66a61e,2837000,1665054
Lahij,#1b9e77,983000,555742
Ma'rib,#7570b3,336859,181740
Raymah,#66a61e,566000,291533
Sa'dah,#e6ab02,1078000,481617
Sana'a,#1b9e77,1435528,746812
Shabwah,#1b9e77,632000,364932
Socotra,#e7298a,64964,NA
Ta'izz,#e6ab02,3182000,1870057
