"Indicator.Code.x","Country.Code","Country","Value","Area"
"AG.CON.FERT.PT.ZS","AFG","Afghanistan",100,652230
"AG.CON.FERT.PT.ZS","ALB","Albania",530,27400
"AG.CON.FERT.PT.ZS","ARE","United Arab Emirates",13.3156771867873,71020
"AG.CON.FERT.PT.ZS","ARG","Argentina",688.545150501672,2736690
"AG.CON.FERT.PT.ZS","AUS","Australia",317.190066073971,7682300
"AG.CON.FERT.PT.ZS","AUT","Austria",79.4235494880546,82520
"AG.CON.FERT.PT.ZS","BFA","Burkina Faso",4822.22222222222,273600
"AG.CON.FERT.PT.ZS","BGD","Bangladesh",123.974219317357,130170
"AG.CON.FERT.PT.ZS","BGR","Bulgaria",37.2097116843703,110630
"AG.CON.FERT.PT.ZS","BHR","Bahrain",0.193843564214598,710
"AG.CON.FERT.PT.ZS","BLR","Belarus",18.8503884466899,202835
"AG.CON.FERT.PT.ZS","BRA","Brazil",229.896115818877,8358140
"AG.CON.FERT.PT.ZS","CAN","Canada",21.2673884332814,8965590
"AG.CON.FERT.PT.ZS","CHE","Switzerland",566.666666666667,39524.8
"AG.CON.FERT.PT.ZS","CHL","Chile",103.981619256017,743532
"AG.CON.FERT.PT.ZS","CHN","China",123.601402758388,9388230
"AG.CON.FERT.PT.ZS","COL","Colombia",690.919811320755,1109500
"AG.CON.FERT.PT.ZS","CRI","Costa Rica",349.809885931559,51060
"AG.CON.FERT.PT.ZS","CUB","Cuba",311,107400
"AG.CON.FERT.PT.ZS","CZE","Czechia",93.2772467865878,77270
"AG.CON.FERT.PT.ZS","DEU","Germany",60.9068273092369,348980
"AG.CON.FERT.PT.ZS","DNK","Denmark",168.918918918919,40000
"AG.CON.FERT.PT.ZS","DZA","Algeria",147.385103011094,2381740
"AG.CON.FERT.PT.ZS","EGY","Egypt, Arab Rep.",82.0750121773015,995450
"AG.CON.FERT.PT.ZS","ESP","Spain",120.26765163297,499440
"AG.CON.FERT.PT.ZS","EST","Estonia",67.619802765251,42390
"AG.CON.FERT.PT.ZS","FIN","Finland",96.5732087227414,304590
"AG.CON.FERT.PT.ZS","FRA","France",217.606665445889,547566
"AG.CON.FERT.PT.ZS","GBR","United Kingdom",158.287073750991,241930
"AG.CON.FERT.PT.ZS","GEO","Georgia",42.5985090521832,69490
"AG.CON.FERT.PT.ZS","GRC","Greece",142.987804878049,128900
"AG.CON.FERT.PT.ZS","HRV","Croatia",45.3910124860344,55910
"AG.CON.FERT.PT.ZS","HUN","Hungary",142.443200526836,89800
"AG.CON.FERT.PT.ZS","IDN","Indonesia",80.3430260534818,1811570
"AG.CON.FERT.PT.ZS","IND","India",126.089684435893,2973190
"AG.CON.FERT.PT.ZS","IRL","Ireland",249.819494584838,68890
"AG.CON.FERT.PT.ZS","IRN","Iran, Islamic Rep.",163.540258143823,1628760
"AG.CON.FERT.PT.ZS","IRQ","Iraq",118.323170731707,437370
"AG.CON.FERT.PT.ZS","ISL","Iceland",182.5,100250
"AG.CON.FERT.PT.ZS","ISR","Israel",4.32584815786916,21640
"AG.CON.FERT.PT.ZS","ITA","Italy",321.441441441441,294110
