Indicator.Code.x,Indicator.Name,Long.definition,Unit.of.measure,Aggregation.method,Year,Count,Type,checked_MTG,comments,Intercept,Slope,InterceptConf,SlopeConf,InterceptLA,SlopeLA,InterceptConfLA,SlopeConfLA
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis.",,Weighted average,1999,89,intensive,TRUE,,366.752121,-1.70E-05,"[154.476764,579.027479]","[-9.2e-05,5.9e-05]",-79.603552,34.287039,"[-1399.61585,1240.408745]","[-70.50538,139.079459]"
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",,Weighted average,2020,199,intensive,TRUE,,288.426127,-2.70E-05,"[49.792834,527.05942]","[-0.000151,9.7e-05]",1021.336553,-66.976548,"[58.126428,1984.546677]","[-150.627754,16.674659]"
AG.LND.AGRI.K2,Agricultural land (sq. km),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.",,Sum,2021,209,extensive,TRUE,,53690.93827,0.281966,"[1489.495227,105892.381302]","[0.254115,0.309817]",-875547.3162,100816.5544,"[-1166869.112617,-584225.519716]","[75097.150432,126535.958349]"
AG.LND.AGRI.ZS,Agricultural land (% of land area),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.",,Weighted average,2021,209,intensive,TRUE,,37.241498,0,"[34.011464,40.471532]","[-2e-06,2e-06]",18.099862,1.743602,"[6.44466,29.755065]","[0.71462,2.772584]"
AG.LND.ARBL.HA,Arable land (hectares),"Arable land (in hectares) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",,,2021,206,extensive,TRUE,,1176208.575,8.920228,"[-635697.462688,2988114.613395]","[7.960362,9.880094]",-26983989.13,3063836.079,"[-37195490.813853,-16772487.443566]","[2165657.83082,3962014.32749]"
AG.LND.ARBL.HA.PC,Arable land (hectares per person),"Arable land (hectares per person) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",,Weighted average,2021,206,intensive,TRUE,,0.147216,0,"[0.118409,0.176022]","[0,0]",-0.21816,0.036281,"[-0.327338,-0.108982]","[0.026678,0.045884]"
AG.LND.ARBL.ZS,Arable land (% of land area),"Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",,Weighted average,2021,206,intensive,TRUE,,14.341879,-1.00E-06,"[12.340011,16.343746]","[-2e-06,0]",11.168882,0.252337,"[3.487128,18.850636]","[-0.423331,0.928005]"
AG.LND.CREL.HA,Land under cereal production (hectares),"Land under cereal production refers to harvested area, although some countries report only sown or cultivated area. Cereals include wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.",Hectares,Sum,2020,181,extensive,TRUE,,1015042.636,4.236722,"[-390674.398513,2420759.670616]","[3.540146,4.933298]",-21066605.9,2152449.028,"[-29372317.480173,-12760894.324497]","[1453987.1193,2850910.93579]"
AG.LND.CROP.ZS,Permanent cropland (% of land area),"Permanent cropland is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber.",,Weighted average,2020,201,intensive,TRUE,,4.989714,-1.00E-06,"[3.844325,6.135103]","[-1e-06,0]",17.607945,-1.173811,"[13.548495,21.667395]","[-1.528649,-0.818973]"
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.,,Sum,2015,215,extensive,TRUE,,1549.849346,0.007452,"[-98.833303,3198.531995]","[0.006562,0.008343]",-17114.67239,2156.918053,"[-24886.846839,-9342.497947]","[1462.064373,2851.771733]"
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.,,Weighted average,2015,215,intensive,TRUE,,6.326175,-1.00E-06,"[4.491395,8.160956]","[-2e-06,0]",25.527527,-1.840517,"[19.913398,31.141656]","[-2.342436,-1.338599]"
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),Urban land area below 5m is the total urban land area in square kilometers where the elevation is 5 meters or less.,,Sum,2015,215,extensive,TRUE,,184.795546,0.000565,"[-156.811936,526.403028]","[0.000381,0.00075]",-1365.625978,176.149972,"[-2589.198305,-142.053652]","[66.759255,285.540688]"
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),Urban land area below 5m is the percentage of total land where the urban land elevation is 5 meters or less.,,Weighted average,2015,215,intensive,TRUE,,1.304414,0,"[0.643277,1.965552]","[-1e-06,0]",8.509194,-0.682855,"[6.513462,10.504926]","[-0.861279,-0.504431]"
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Land area below 5m is the percentage of total land where the elevation is 5 meters or less.,,Weighted average,2015,215,intensive,TRUE,,7.630589,-1.00E-06,"[5.603888,9.657291]","[-2e-06,0]",34.036721,-2.523372,"[28.245252,39.828191]","[-3.041146,-2.005599]"
AG.LND.FRST.K2,Forest area (sq. km),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.",,Sum,2021,213,extensive,TRUE,,-49954.74923,0.393783,"[-90822.795346,-9086.703119]","[0.371771,0.415796]",-722599.1268,84547.72285,"[-1068316.284277,-376881.969403]","[53748.154561,115347.291147]"
AG.LND.FRST.ZS,Forest area (% of land area),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.",,Weighted average,2021,213,intensive,TRUE,,31.936906,0,"[28.461929,35.411883]","[-2e-06,2e-06]",33.905879,-0.190012,"[21.961238,45.850519]","[-1.254147,0.874123]"
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),"Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding.",,Weighted average,2007,71,intensive,TRUE,,8.415171,0,"[5.766897,11.063445]","[-1e-06,1e-06]",18.003353,-0.826642,"[2.093074,33.913631]","[-2.140511,0.487228]"
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.,,,2020,182,intensive,TRUE,,1221.454412,-7.10E-05,"[1097.692838,1345.215986]","[-0.000133,-1e-05]",2330.688125,-99.869843,"[1759.666376,2901.709874]","[-148.069435,-51.670251]"
AG.LND.TOTL.K2,Land area (sq. km),"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",,Sum,2021,215,extensive,TRUE,,0,1,"[0,0]","[1,1]",-2116063.366,253190.7037,"[-2870244.395081,-1361882.336693]","[185762.934825,320618.472555]"
AG.LND.TOTL.RU.K2,Rural land area (sq. km),"Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.",,Sum,2015,215,extensive,TRUE,,-1872.701951,0.986022,"[-9205.996609,5460.592707]","[0.982062,0.989983]",-2085602.962,249467.0101,"[-2831341.724607,-1339864.198626]","[182795.922426,316138.097747]"
AG.LND.TOTL.UR.K2,Urban land area (sq. km),"Urban land area in square kilometers, based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons.",,Sum,2015,215,extensive,TRUE,,1433.328294,0.012258,"[-3420.788249,6287.444836]","[0.009636,0.014879]",-27525.27384,3385.651438,"[-46285.047326,-8765.500353]","[1708.476313,5062.826562]"
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land","Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.",,Weighted average,1965,158,intensive,TRUE,,146.155057,-1.30E-05,"[101.452468,190.857646]","[-3.9e-05,1.3e-05]",364.951817,-20.008577,"[187.208002,542.695632]","[-35.242234,-4.774919]"
